origin,allocation,share_65_plus_of_adults,net_25_64,net_65_plus,own_ages,native_age_mix,native_age_mix_se_approx,native_old_age,native_share_65_plus_used
canada,personal,0.3271,39558.9000,3728.5700,27838.2000,29520.4956,8072.0939,20703.9076,0.2802
taiwan_hong_kong,personal,0.3138,37500.3000,-14928.1000,21048.9000,22811.6973,3845.0050,19222.0552,0.2802
iran,personal,0.3000,37307.8000,-16289.3000,21228.4000,22291.7685,6380.2212,19083.4870,0.2802
india,personal,0.1188,34581.5000,-10925.8000,29174.3000,21831.9473,1795.4448,17121.0008,0.2802
united_kingdom,personal,0.3889,36915.5000,-17044.9000,15931.2000,21797.6845,4830.5302,18801.0957,0.2802
china_mainland,personal,0.2584,28192.1000,-15445.4000,16914.8000,15966.3998,2703.7962,12521.6871,0.2802
egypt,personal,0.1612,21021.3000,-894.1300,17488.5000,14881.3636,6749.8194,7359.8943,0.2802
germany,personal,0.5237,22568.3000,-19445.2000,566.6250,10797.5878,4701.2474,8473.4790,0.2802
brazil,personal,0.0802,20370.6000,-16189.1000,17437.5000,10127.8516,3227.9075,6891.4976,0.2802
japan,personal,0.3257,20918.0000,-20470.1000,7438.3000,9322.5030,5492.7309,7285.5353,0.2802
poland,personal,0.3903,24301.2000,-29780.1000,3191.5000,9149.5126,3214.5400,9720.8811,0.2802
korea,personal,0.2522,21348.2000,-22887.0000,10193.0000,8955.0452,2310.8896,7595.2083,0.2802
nigeria,personal,0.0942,17944.3000,-14460.0000,14891.3000,8865.7493,5222.7324,5144.9620,0.2802
russia_ukraine_ussr,personal,0.2062,18633.5000,-24215.1000,9797.5300,6628.8220,2058.7334,5641.0723,0.2802
former_ussr,personal,0.1944,17244.7000,-25148.9000,9003.6700,5367.4971,2014.4623,4641.3654,0.2802
third_plus_nh_white,personal,0.3156,17261.5000,-27001.3000,3293.6000,4860.6126,386.9927,4653.4586,0.2802
philippines,personal,0.3232,15575.5000,-29684.3000,948.1040,2895.2881,1568.4179,3439.8168,0.2802
all_native,personal,0.2802,14665.4000,-27740.7000,2784.6900,2784.6950,329.6828,2784.6950,0.2802
pakistan_bangladesh,personal,0.1944,12134.2000,-22863.3000,5331.4700,2329.1254,3287.3947,962.6486,0.2802
venezuela,personal,0.0919,7061.5200,-21275.1000,4458.2500,-877.4091,1436.0999,-2688.8440,0.2802
mexico_born,personal,0.1486,1559.3400,-24294.0000,-2281.6100,-5683.8610,642.2129,-6649.5057,0.2802
canada,shared,0.3271,27874.5000,2465.2000,19562.6000,20755.7035,5629.0728,12728.1357,0.2802
taiwan_hong_kong,shared,0.3138,25045.4000,-12767.9000,13180.0000,14451.4368,3346.1839,10691.6505,0.2802
united_kingdom,shared,0.3889,23859.9000,-10768.9000,10393.3000,14158.1222,3887.6350,9838.2861,0.2802
india,shared,0.1188,21288.0000,-6680.4200,17964.8000,13452.2276,1433.9179,7986.9425,0.2802
iran,shared,0.3000,23013.9000,-13558.3000,12042.1000,12767.6496,3626.5560,9229.3057,0.2802
china_mainland,shared,0.2584,18509.7000,-12652.8000,10456.3000,9779.0582,2331.7367,5987.0249,0.2802
germany,shared,0.5237,19041.4000,-19263.8000,-1018.2800,8309.6236,4156.9470,6369.7612,0.2802
egypt,shared,0.1612,9420.0400,-637.2750,7798.7900,6602.3323,3828.0001,-556.0305,0.2802
brazil,shared,0.0802,14544.2000,-19593.7000,11805.4000,4979.9552,2694.0071,3132.5192,0.2802
korea,shared,0.2522,14344.8000,-21615.5000,5276.3400,4269.9826,2044.4656,2988.9841,0.2802
japan,shared,0.3257,12649.5000,-19922.2000,2041.2500,3524.0497,3325.8906,1768.6478,0.2802
poland,shared,0.3903,12063.8000,-22581.2000,-1459.2900,2357.4836,2533.3300,1347.0405,0.2802
russia_ukraine_ussr,shared,0.2062,10190.9000,-21103.9000,3737.5100,1423.1924,1849.5226,-1.1385,0.2802
nigeria,shared,0.0942,7761.9500,-17579.5000,5374.3400,662.1627,2529.5130,-1749.5817,0.2802
third_plus_nh_white,shared,0.3156,9969.8400,-25615.3000,-1259.6700,0.1293,362.6767,-160.2652,0.2802
former_ussr,shared,0.1944,8495.0000,-22789.9000,2413.4200,-269.9340,1666.7377,-1221.9067,0.2802
philippines,shared,0.3232,8120.2800,-23576.6000,-2123.7300,-760.0764,1406.3404,-1491.6432,0.2802
all_native,shared,0.2802,7890.1600,-26187.8000,-1657.2900,-1657.2917,316.8476,-1657.2917,0.2802
pakistan_bangladesh,shared,0.1944,5335.5400,-19808.9000,448.0460,-1709.0520,2674.0221,-3496.1966,0.2802
venezuela,shared,0.0919,4131.8400,-18930.1000,2013.1500,-2329.3084,1662.1263,-4362.6619,0.2802
mexico_born,shared,0.1486,-2596.3000,-21537.1000,-5410.2700,-7902.8492,611.3499,-9205.8126,0.2802
