origin,education,allocation,account,raw_n_25_64,raw_n_65_plus,population_25_plus,ba_plus_share_25_64,share_65_plus_of_adults,unsupported_age_bands,net_per_person_25_64_estimate,net_per_person_25_64_se_joint,net_per_person_25_64_ci95_low,net_per_person_25_64_ci95_high,net_per_person_65_plus_estimate,net_per_person_65_plus_se_joint,net_per_person_65_plus_ci95_low,net_per_person_65_plus_ci95_high,net_per_person_25_plus_estimate,net_per_person_25_plus_se_joint,net_per_person_25_plus_ci95_low,net_per_person_25_plus_ci95_high,gap_vs_native_same_education_common_age,gap_ci95_low,gap_ci95_high,gap_standard_mass
india,all,personal,expanded_excluding_N,1232,165,3.68291e+06,0.904793,0.118821,0,34581.5,2047.55,30568.3,38594.7,-10925.8,3659.64,-18098.7,-3752.95,29174.3,1889.75,25470.4,32878.2,19691.1,15429.8,23952.3,1
venezuela,ba_plus,personal,expanded_excluding_N,180,23,461025,0.494707,0.0918695,3,10463.3,2132.47,6283.62,14642.9,-20782.7,3406.07,-27458.6,-14106.8,7264.13,2148.02,3054.02,11474.2,-19402.3,-23851.5,-14953.1,0.758119
philippines,ba_plus,personal,expanded_excluding_N,343,143,1.03577e+06,0.556395,0.323187,0,22959.6,2779.74,17511.3,28407.9,-27962.5,2849.03,-33546.6,-22378.5,8205.31,2524.62,3257.04,13153.6,-6459.92,-11712.6,-1207.21,1
mexico_born,ba_plus,personal,expanded_excluding_N,475,67,1.21161e+06,0.11488,0.148567,1,15016.4,2187.48,10728.9,19303.9,-9523.89,4459.99,-18265.5,-782.319,12456.5,2041.55,8455.12,16458,-14997.7,-19541.3,-10454.1,1
pakistan_bangladesh,ba_plus,personal,expanded_excluding_N,130,23,431990,0.596824,0.194377,4,19805.1,5243.08,9528.67,30081.5,-17134.2,11426.1,-39529.3,5260.91,13317.3,4801.28,3906.75,22727.8,-12947,-21152.4,-4741.59,0.534488
former_ussr,ba_plus,personal,expanded_excluding_N,225,36,816497,0.63278,0.194393,2,24794.3,3251.14,18422.1,31166.5,-23836.1,6496.44,-36569.1,-11103.1,16228.8,3199.62,9957.56,22500.1,-7518.96,-13399.2,-1638.7,1
poland,ba_plus,personal,expanded_excluding_N,39,16,173397,0.524605,0.390333,6,34932.9,5830.29,23505.5,46360.3,-23243.3,8708.91,-40312.7,-6173.82,16351.2,6007.26,4576.95,28125.4,,,,0
all_native,ba_plus,personal,expanded_excluding_N,22803,7165,7.36319e+07,0.411441,0.280165,0,29721.5,568.995,28606.3,30836.8,-20369.5,998.276,-22326.1,-18412.9,17329.2,546.114,16258.8,18399.6,0,0,0,1
third_plus_nh_white,ba_plus,personal,expanded_excluding_N,16054,5533,5.37557e+07,0.443822,0.315568,0,31563.2,686.459,30217.7,32908.6,-19578.1,1101.45,-21736.9,-17419.3,17430,648.664,16158.6,18701.4,1577.8,1048.71,2106.89,1
russia_ukraine_ussr,ba_plus,personal,expanded_excluding_N,149,22,525612,0.64349,0.206214,4,26497.3,3900.66,18852,34142.6,-22267.8,5472.9,-32994.7,-11540.9,18045.1,3757.45,10680.5,25409.7,-1438.01,-11742.8,8866.76,0.480098
japan,ba_plus,personal,expanded_excluding_N,76,23,210151,0.765856,0.32569,6,26573.7,9116.93,8704.46,44442.8,-10758.1,7646.75,-25745.7,4229.53,18419.2,7766.68,3196.52,33641.9,,,,0
korea,ba_plus,personal,expanded_excluding_N,201,42,586198,0.743397,0.25218,2,26230,3531.49,19308.2,33151.7,-14376.7,6189.9,-26508.9,-2244.49,19101.3,3363.19,12509.4,25693.1,-3690.18,-11173.3,3792.97,1
germany,ba_plus,personal,expanded_excluding_N,34,25,144930,0.555794,0.523681,6,31457.5,7335.14,17080.6,45834.4,5890.28,14907.9,-23329.2,35109.8,19483.8,7826.1,4144.64,34823,,,,0
nigeria,ba_plus,personal,expanded_excluding_N,83,11,300886,0.716198,0.0942176,5,24385.8,6240.24,12154.9,36616.7,-9885.07,18169,-45496.3,25726.1,21037.2,5965.99,9343.87,32730.6,-2679.91,-29049.6,23689.8,0.223631
egypt,ba_plus,personal,expanded_excluding_N,31,7,97925.2,0.733127,0.161201,6,30151.6,6739.73,16941.7,43361.4,7320.79,25416.1,-42494.7,57136.3,26488.6,7297.64,12185.3,40792,,,,0
taiwan_hong_kong,ba_plus,personal,expanded_excluding_N,115,42,395468,0.796099,0.313789,2,43687.9,5896.04,32131.6,55244.1,-10129.7,6943.6,-23739.1,3479.77,28787.4,5528.94,17950.7,39624.1,13978.5,1195.71,26761.3,0.721979
canada,ba_plus,personal,expanded_excluding_N,123,41,399040,0.729889,0.327118,4,40148.6,6655.61,27103.6,53193.6,-6200.27,8169.23,-22212,9811.41,29291.3,5514.61,18482.7,40099.9,8517.94,-4286.55,21322.4,0.465512
brazil,ba_plus,personal,expanded_excluding_N,96,9,284409,0.506021,0.0802266,4,34466.1,6666.55,21399.7,47532.6,-16229.4,9451.14,-34753.6,2294.84,29647.4,6682.41,16549.9,42744.9,6412.78,-9844.06,22669.6,0.480098
india,ba_plus,personal,expanded_excluding_N,1112,104,3.21572e+06,0.904793,0.118821,0,36525.3,1769.72,33056.6,39993.9,-7097.92,5180.29,-17251.3,3055.45,32735.1,1693.82,29415.2,36055,7544.57,3192.91,11896.2,1
united_kingdom,ba_plus,personal,expanded_excluding_N,101,39,366485,0.685019,0.388883,4,48506.7,7151.16,34490.5,62523,-5780.94,21020,-46980.1,35418.3,33295.4,8092.73,17433.7,49157.2,15096.2,671.567,29520.8,0.480098
china_mainland,ba_plus,personal,expanded_excluding_N,425,61,1.19379e+06,0.684732,0.258432,1,40143.3,3572.66,33140.9,47145.7,6975.55,14920.3,-22268.3,36219.4,35758.9,4188.49,27549.4,43968.3,10110.1,2912.14,17308.1,1
iran,ba_plus,personal,expanded_excluding_N,61,18,237505,0.736557,0.300005,6,49261.8,11169.5,27369.5,71154.1,-17797.9,8658.46,-34768.5,-827.32,36020.6,9874.14,16667.3,55373.9,,,,0
mexico_born,all,shared,expanded_excluding_N,4318,831,1.10949e+07,0.11488,0.148567,0,-2596.3,614.645,-3801,-1391.59,-21537.1,1505.87,-24488.6,-18585.6,-5410.27,589.425,-6565.54,-4255,-10110.6,-11445.7,-8775.45,1
philippines,all,shared,expanded_excluding_N,669,329,1.95356e+06,0.556395,0.323187,0,8120.28,1745.75,4698.6,11542,-23576.6,2253.54,-27993.6,-19159.7,-2123.73,1546,-5153.9,906.432,1692.54,-1804.78,5189.85,1
all_native,all,shared,expanded_excluding_N,55652,21681,1.87107e+08,0.411441,0.280165,0,7890.16,363.765,7177.18,8603.14,-26187.8,636.768,-27435.8,-24939.7,-1657.29,336.46,-2316.75,-997.828,0,0,0,1
poland,all,shared,expanded_excluding_N,78,44,368983,0.524605,0.390333,5,12063.8,3230.25,5732.49,18395.1,-22581.2,3588.88,-29615.4,-15547,-1459.29,3074.47,-7485.25,4566.66,4629.74,-4355.75,13615.2,0.223631
third_plus_nh_white,all,shared,expanded_excluding_N,36287,15524,1.28059e+08,0.443822,0.315568,0,9969.84,425.672,9135.52,10804.2,-25615.3,692.533,-26972.6,-24257.9,-1259.67,388.174,-2020.49,-498.846,2058.48,1794.46,2322.5,1
germany,all,shared,expanded_excluding_N,59,59,291068,0.555794,0.523681,5,19041.4,4839.09,9556.78,28526,-19263.8,8097.34,-35134.5,-3392.97,-1018.28,5093.42,-11001.4,8964.82,,,,0
pakistan_bangladesh,all,shared,expanded_excluding_N,209,48,740653,0.596824,0.194377,1,5335.54,2633.73,173.428,10497.7,-19808.9,6730.94,-33001.5,-6616.26,448.046,2719.66,-4882.49,5778.58,-1921.57,-7032.18,3189.04,1
venezuela,all,shared,expanded_excluding_N,338,41,921124,0.494707,0.0918695,2,4131.84,2118.3,-20.0275,8283.7,-18930.1,2361.07,-23557.8,-14302.4,2013.15,1994.2,-1895.49,5921.79,-3826.41,-7760.61,107.794,1
japan,all,shared,expanded_excluding_N,101,58,318048,0.765856,0.32569,4,12649.5,4175.69,4465.18,20833.9,-19922.2,5081.33,-29881.6,-9962.8,2041.25,3655.97,-5124.45,9206.96,14938,-3083.21,32959.2,0.256467
former_ussr,all,shared,expanded_excluding_N,340,68,1.31958e+06,0.63278,0.194393,0,8495,1657.55,5246.2,11743.8,-22789.9,4153.9,-30931.6,-14648.3,2413.42,1893.2,-1297.24,6124.09,222.234,-2955.54,3400.01,1
russia_ukraine_ussr,all,shared,expanded_excluding_N,217,44,850657,0.64349,0.206214,2,10190.9,2072.93,6127.99,14253.9,-21103.9,3900.49,-28748.9,-13458.9,3737.51,2329.18,-827.671,8302.7,1860.34,-2062.73,5783.4,1
korea,all,shared,expanded_excluding_N,275,98,869337,0.743397,0.25218,0,14344.8,2479.47,9485.02,19204.6,-21615.5,3559.13,-28591.4,-14639.6,5276.34,2377.34,616.765,9935.92,7834.3,2713.58,12955,1
nigeria,all,shared,expanded_excluding_N,114,15,418496,0.716198,0.0942176,4,7761.95,2605.12,2655.92,12868,-17579.5,6059.29,-29455.7,-5703.25,5374.34,2710.49,61.7766,10686.9,-2455.97,-8041.87,3129.93,0.480098
egypt,all,shared,expanded_excluding_N,43,11,133693,0.733127,0.161201,6,9420.04,4042.2,1497.33,17342.7,-637.275,8878.32,-18038.8,16764.2,7798.79,3648.68,647.381,14950.2,,,,0
united_kingdom,all,shared,expanded_excluding_N,146,84,630148,0.685019,0.388883,1,23859.9,3735.16,16539,31180.8,-10768.9,10022.5,-30413,8875.15,10393.3,4530.01,1514.51,19272.1,15059.8,7288.33,22831.3,0.721979
china_mainland,all,shared,expanded_excluding_N,628,190,2.04024e+06,0.684732,0.258432,0,18509.7,2765.17,13089.9,23929.4,-12652.8,4334.99,-21149.4,-4156.22,10456.3,2742.95,5080.13,15832.5,10914,5293.1,16535,1
brazil,all,shared,expanded_excluding_N,193,15,552990,0.506021,0.0802266,3,14544.2,3208.26,8255.99,20832.4,-19593.7,4951.29,-29298.3,-9889.2,11805.4,3193.1,5546.94,18063.9,6623.55,760.4,12486.7,0.758119
iran,all,shared,expanded_excluding_N,81,34,369694,0.736557,0.300005,6,23013.9,4737.85,13727.7,32300.1,-13558.3,4401.43,-22185.1,-4931.47,12042.1,4031.94,4139.46,19944.7,,,,0
taiwan_hong_kong,all,shared,expanded_excluding_N,141,66,523484,0.796099,0.313789,2,25045.4,4337.87,16543.2,33547.6,-12767.9,4293.03,-21182.2,-4353.53,13180,3502.76,6314.62,20045.4,17699.9,8809.66,26590.1,0.721979
india,all,shared,expanded_excluding_N,1232,165,3.68291e+06,0.904793,0.118821,0,21288,1477.76,18391.6,24184.5,-6680.42,3432.07,-13407.3,46.431,17964.8,1394.42,15231.7,20697.9,13733.5,10605.1,16862,1
canada,all,shared,expanded_excluding_N,165,83,622166,0.729889,0.327118,0,27874.5,4610.38,18838.1,36910.8,2465.2,16228.7,-29343.1,34273.5,19562.6,6213.76,7383.68,31741.6,19342.5,10444.4,28240.5,1
philippines,ba_plus,shared,expanded_excluding_N,343,143,1.03577e+06,0.556395,0.323187,0,13812.3,2641.16,8635.63,18989,-24678.9,2786.07,-30139.6,-19218.2,2659.81,2337.67,-1922.02,7241.64,-4217.89,-9110.28,674.509,1
venezuela,ba_plus,shared,expanded_excluding_N,180,23,461025,0.494707,0.0918695,3,6861.15,3205.62,578.142,13144.2,-19138.6,3235.02,-25479.3,-12798,4199.15,3013.14,-1706.6,10104.9,-10755.8,-18608.7,-2902.91,0.758119
pakistan_bangladesh,ba_plus,shared,expanded_excluding_N,130,23,431990,0.596824,0.194377,4,9776.46,3323.43,3262.53,16290.4,-15925.3,7429.18,-30486.5,-1364.14,5262.32,3201.41,-1012.45,11537.1,-8203.42,-16592.1,185.275,0.534488
mexico_born,ba_plus,shared,expanded_excluding_N,475,67,1.21161e+06,0.11488,0.148567,1,8913.21,1909.36,5170.88,12655.6,-11437.1,3388.13,-18077.9,-4796.39,6790.43,1774.74,3311.94,10268.9,-10918.1,-14755.7,-7080.48,1
former_ussr,ba_plus,shared,expanded_excluding_N,225,36,816497,0.63278,0.194393,2,15028.4,2562.95,10005,20051.7,-22752.4,6006.83,-34525.8,-10979,8373.86,2533.64,3407.93,13339.8,-4980.63,-10026.2,64.8947,1
