split,sigma,native_cell0_wage_pct_vs_absent_min,native_cell0_wage_pct_vs_absent_max,native_cell1_wage_pct_vs_absent_min,native_cell1_wage_pct_vs_absent_max,native_cell0_earnings_bn_min,native_cell0_earnings_bn_max,native_cell1_earnings_bn_min,native_cell1_earnings_bn_max,otherfb_cell0_earnings_bn_min,otherfb_cell0_earnings_bn_max,otherfb_cell1_earnings_bn_min,otherfb_cell1_earnings_bn_max,native_production_gain_bn_min,native_production_gain_bn_max,other_immigrant_production_gain_bn_min,other_immigrant_production_gain_bn_max
below_ba,1.5,-4.17,-3.4,2.39,3.0,-166.31,-127.58,125.97,163.33,-28.0,-21.22,32.49,41.78,-14.62,-7.02,5.43,11.32
below_ba,2.0,-3.16,-2.69,1.87,2.23,-124.53,-100.17,98.7,122.3,-20.96,-16.66,25.46,31.28,-10.94,-5.5,4.26,8.48
below_ba,2.5,-2.54,-2.23,1.53,1.77,-99.53,-82.45,81.14,97.74,-16.75,-13.71,20.93,25.0,-8.74,-4.52,3.51,6.78
hs_or_less,1.5,-6.96,-5.65,1.55,1.95,-136.7,-103.47,111.02,145.73,-29.53,-21.98,24.78,32.27,-1.65,-0.46,0.27,1.08
hs_or_less,2.0,-5.28,-4.47,1.2,1.45,-101.84,-80.94,86.62,108.59,-22.0,-17.19,19.33,24.05,-1.21,-0.35,0.21,0.8
hs_or_less,2.5,-4.25,-3.7,0.99,1.15,-81.15,-66.46,71.02,86.53,-17.53,-14.12,15.85,19.16,-0.96,-0.28,0.18,0.64
