proxy,split,normalization,labor_share,sigma,capital_adjustment,labor_supply_elasticity,sigma_NI,native_cell0_wage_pct_vs_absent,native_cell1_wage_pct_vs_absent,native_cell0_earnings_bn,native_cell1_earnings_bn,otherfb_cell0_earnings_bn,otherfb_cell1_earnings_bn,native_production_gain_bn,other_immigrant_production_gain_bn
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.0,3.0,-7.900401173554594,-1.473014231835601,-156.85988348130599,-113.73848164094157,-91.5161911509374,-33.683859673265715,-226.50866975583293,-105.913573688617
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.0,8.7,-9.427433609011704,-1.5452935870234108,-190.3344014131538,-119.40711373723124,-60.49843475721289,-29.368307214854664,-259.9077031088813,-75.71821667722747
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.0,17.9,-9.819568087094034,-1.5647345208282815,-199.11343126762216,-120.93322291170452,-52.370821341,-28.200999205201107,-268.698617569955,-67.77678804460754
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.0,inf,-10.182527587252743,-1.5830754133595026,-207.30761145336157,-122.37353179592954,-44.78750680531043,-27.097168637697724,-276.9166323099355,-60.35538859840146
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.33,3.0,-6.540459706966417,-1.4207108924595757,-127.9691000353393,-109.64168676801685,-78.48332897592933,-31.928544311600564,-199.78466282901368,-95.47867088057752
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.33,8.7,-7.893915345743341,-1.4832081286036525,-156.72007296592767,-114.53745160631325,-52.20258774244982,-28.181149088312658,-229.13202737482473,-68.63147968409905
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.33,17.9,-8.270360219946749,-1.5015150313017034,-164.8675634226931,-115.97271213644123,-44.64605276794765,-27.075931452160397,-237.50949963146277,-60.97401243160186
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.0,0.33,inf,-8.6302954293913,-1.5194310572010261,-172.7205147389068,-117.37784458225748,-37.31518189348221,-25.99097372035361,-245.610967855481,-53.57167715569224
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.0,3.0,-6.2453399575235995,0.29754932061392125,-121.81021281747172,22.56962387062879,-82.9266237682567,-3.3511293044524755,-86.84794053287845,-74.1540396583132
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.0,8.7,-7.8096412966450535,0.2132882164737504,-154.90522388195313,16.1918782718725,-52.50413293412316,0.7087563587471141,-120.48935149898948,-44.676962225174215
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.0,17.9,-8.211373923807452,0.19066868635588818,-163.5864928615246,14.477973565509396,-44.531568337907714,1.8080268684512562,-129.3468202439662,-36.92378339052761
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.0,inf,-8.583228519972785,0.16934637571808242,-171.69010948730696,12.861651763075216,-37.09256931358366,2.8479552863160817,-137.62813013452364,-29.678063467051093
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.33,3.0,-5.146622917980038,0.04948080075302119,-99.21790064141744,3.7625091093942378,-71.52478997975332,-6.705032863001659,-83.23760820722558,-68.79708170145146
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.33,8.7,-6.5299273404964,-0.02428472595953357,-127.74862966950474,-1.8479676620534398,-45.675796618470585,-3.1871801246157214,-112.82274254552954,-42.65420870809225
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.33,17.9,-6.914717745720056,-0.04583799833047797,-135.8356980587617,-3.4888350925606324,-38.24242987817285,-2.1482968923083345,-121.27155783829716,-35.19679278805212
PEARNVAL,hs_or_less,gdp,0.6,1.5,0.5,0.33,inf,-7.282651916943472,-0.06690693598201403,-143.63128078116034,-5.093513858938079,-31.030635683576456,-1.127856669399803,-129.44355046462368,-27.987498608796376
PEARNVAL,hs_or_less,gdp,0.6,1.5,1.0,0.0,3.0,-4.56053672672041,2.0999305042313843,-87.37927780394119,156.47146756267176,-74.48868895329191,26.446134074378428,50.347342639342635,-42.955160138291426
