state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,46927,4983126,7,7,0
Alaska,736081,4181,731900,1,1,0
Arizona,7158923,510639,6648284,9,9,0
Arkansas,3013756,60236,2953520,4,4,0
California,39576757,3962910,35613847,52,48,-4
Colorado,5782171,215778,5566393,8,8,0
Connecticut,3608298,28086,3580212,5,5,0
Delaware,990837,14616,976221,1,1,0
Florida,21570527,257933,21312594,28,29,1
Georgia,10725274,232197,10493077,14,14,0
Hawaii,1460137,5111,1455026,2,2,0
Idaho,1841377,51334,1790043,2,2,0
Illinois,12822739,623058,12199681,17,16,-1
Indiana,6790280,101620,6688660,9,9,0
Iowa,3192406,41522,3150884,4,4,0
Kansas,2940865,81933,2858932,4,4,0
Kentucky,4509342,29830,4479512,6,6,0
Louisiana,4661468,26911,4634557,6,6,0
Maine,1363582,705,1362877,2,2,0
Maryland,6185278,33833,6151445,8,8,0
Massachusetts,7033469,13211,7020258,9,10,1
Michigan,10084442,77850,10006592,13,14,1
Minnesota,5709752,59735,5650017,8,8,0
Mississippi,2963914,20393,2943521,4,4,0
Missouri,6160281,40760,6119521,8,8,0
Montana,1085407,1877,1083530,2,2,0
Nebraska,1963333,47953,1915380,3,3,0
Nevada,3108462,221979,2886483,4,4,0
New Hampshire,1379089,2276,1376813,2,2,0
New Jersey,9294493,101763,9192730,12,12,0
New Mexico,2120220,129628,1990592,3,3,0
New York,20215751,209202,20006549,26,27,1
North Carolina,10453948,220943,10233005,14,14,0
North Dakota,779702,2714,776988,1,1,0
Ohio,11808848,44019,11764829,15,16,1
Oklahoma,3963516,105092,3858424,5,5,0
Oregon,4241500,140613,4100887,6,6,0
Pennsylvania,13011844,53749,12958095,17,18,1
Rhode Island,1098163,3143,1095020,2,2,0
South Carolina,5124712,62638,5062074,7,7,0
South Dakota,887770,3635,884135,1,1,0
Tennessee,6916897,89257,6827640,9,9,0
Texas,29183290,2445193,26738097,38,36,-2
Utah,3275252,98336,3176916,4,4,0
Vermont,643503,711,642792,1,1,0
Virginia,8654542,56757,8597785,11,12,1
Washington,7715946,241393,7474553,10,10,0
West Virginia,1795045,1942,1793103,2,2,0
Wisconsin,5897473,86500,5810973,8,8,0
Wyoming,577719,8014,569705,1,1,0
