arm,draws,seats_moved_p2.5_med_p97.5,california_delta,texas_delta,ev_shift_to_R_2024
2020_mexico_born,4000,"(6, 7, 7)","(-4, -4, -4)","(-2, -2, -2)","(2, 2, 2)"
2020_all_foreign_born,4000,"(14, 14, 15)","(-8, -8, -8)","(-2, -1, -1)","(11, 11, 11)"
2020_unauth_pew2019,4000,"(2, 2, 2)","(-1, -1, -1)","(-1, -1, -1)","(0, 0, 1)"
