state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,544428,4485625,7,7,0
Alaska,736081,79670,656411,1,1,0
Arizona,7158923,774846,6384077,9,9,0
Arkansas,3013756,326194,2687562,4,4,0
California,39576757,4283590,35293167,52,52,0
Colorado,5782171,625833,5156338,8,8,0
Connecticut,3608298,390544,3217754,5,5,0
Delaware,990837,107243,883594,1,1,0
Florida,21570527,2334686,19235841,28,28,0
Georgia,10725274,1160850,9564424,14,14,0
Hawaii,1460137,158038,1302099,2,2,0
Idaho,1841377,199301,1642076,2,2,0
Illinois,12822739,1387869,11434870,17,17,0
Indiana,6790280,734946,6055334,9,9,0
Iowa,3192406,345530,2846876,4,4,0
Kansas,2940865,318305,2622560,4,4,0
Kentucky,4509342,488069,4021273,6,6,0
Louisiana,4661468,504534,4156934,6,6,0
Maine,1363582,147587,1215995,2,2,0
Maryland,6185278,669464,5515814,8,8,0
Massachusetts,7033469,761268,6272201,9,9,0
Michigan,10084442,1091490,8992952,13,13,0
Minnesota,5709752,617995,5091757,8,8,0
Mississippi,2963914,320799,2643115,4,4,0
Missouri,6160281,666758,5493523,8,8,0
Montana,1085407,117479,967928,2,2,0
Nebraska,1963333,212501,1750832,3,3,0
Nevada,3108462,336444,2772018,4,4,0
New Hampshire,1379089,149266,1229823,2,2,0
New Jersey,9294493,1005989,8288504,12,12,0
New Mexico,2120220,229482,1890738,3,3,0
New York,20215751,2188052,18027699,26,26,0
North Carolina,10453948,1131483,9322465,14,14,0
North Dakota,779702,84391,695311,1,1,0
Ohio,11808848,1278131,10530717,15,15,0
Oklahoma,3963516,428991,3534525,5,5,0
Oregon,4241500,459079,3782421,6,6,0
Pennsylvania,13011844,1408337,11603507,17,17,0
Rhode Island,1098163,118860,979303,2,2,0
South Carolina,5124712,554673,4570039,7,7,0
South Dakota,887770,96088,791682,1,1,0
Tennessee,6916897,748650,6168247,9,9,0
Texas,29183290,3158653,26024637,38,38,0
Utah,3275252,354497,2920755,4,4,0
Vermont,643503,69650,573853,1,1,0
Virginia,8654542,936724,7717818,11,11,0
Washington,7715946,835135,6880811,10,10,0
West Virginia,1795045,194287,1600758,2,2,0
Wisconsin,5897473,638313,5259160,8,8,0
Wyoming,577719,62529,515190,1,1,0
