NAME,state,mex_origin_2020_dec,total_2010_dec,hisp_2010_dec,mex_origin_2010_dec,mex_born_acs2020,mex_origin_acs2020,total_acs2020_b03001,total_acs2020,mex_born_acs2010,mex_origin_acs2010,total_acs2010,fb_acs2020,fb_acs2010,mex_origin_u18_2020_dec
Alabama,01,148193,4779736,185602,122911,46927,124956,4893186,4893186,61424,111664,4712651,168053,157935,58353
Alaska,02,25177,710231,39249,21642,4181,28634,736990,736990,4399,22059,691189,57342,49762,8700
Arizona,04,1842769,6392017,1895149,1657668,510639,1982168,7174064,7174064,550034,1631468,6246816,947611,884625,598919
Arkansas,05,171732,2915918,186050,138194,60236,167313,3011873,3011873,61769,128480,2872684,148142,122446,66525
California,06,12202347,37253956,14013719,11423146,3962910,12635258,39346023,39346023,4294900,11231410,36637290,10463818,9962472,3620815
Colorado,08,874342,5029196,1038687,757181,215778,891760,5684926,5684926,234298,736652,4887061,539514,479769,289582
Connecticut,09,59453,3574097,479087,50658,28086,63563,3570549,3570549,23954,45346,3545837,521384,469180,19883
Delaware,10,37201,897934,73221,30283,14616,34018,967679,967679,16164,28509,881278,91133,72531,13704
Florida,12,707301,18801310,4223806,629718,257933,709870,21216924,21216924,285919,592395,18511620,4410286,3549510,238887
Georgia,13,570149,9687653,853689,519502,232197,558421,10516579,10516579,279497,490440,9468815,1068027,909022,211710
Hawaii,15,42941,1360301,120842,35415,5111,47164,1420074,1420074,5105,33717,1333591,259672,236177,14205
Idaho,16,189489,1567582,175901,148923,51334,188699,1754367,1754367,48870,140968,1526797,103021,89359,71760
Illinois,17,1768747,12830632,2027578,1602403,623058,1709245,12716164,12716164,698504,1535659,12745359,1773067,1736696,557712
Indiana,18,374854,6483802,389707,295373,101620,340483,6696893,6696893,110257,278180,6417398,355838,285300,142972
Iowa,19,148097,3046355,151544,117090,41522,148372,3150011,3150011,39495,107968,3016267,170325,124681,58256
Kansas,20,290747,2853118,300042,247297,81933,285350,2912619,2912619,82883,230315,2809329,204029,177139,109694
Kentucky,21,105469,4339367,132836,82110,29830,90537,4461952,4461952,35735,75227,4285828,176323,130794,42777
Louisiana,22,103872,4533372,192560,78643,26911,88174,4664616,4664616,27244,72628,4429940,193041,157697,36361
Maine,23,7167,1328361,16935,5134,705,7122,1340825,1340825,800,4882,1327665,48139,43911,2498
Maryland,24,112886,5773552,470632,88004,33833,97574,6037624,6037624,38475,81906,5696423,916067,750533,39863
Massachusetts,25,51646,6547629,627654,38379,13211,47720,6873003,6873003,13747,39315,6477096,1158909,942255,14742
Michigan,26,381337,9883640,436358,317903,77850,371361,9973907,9973907,81273,313437,9952687,686647,591534,137543
Minnesota,27,214435,5303925,250258,176007,59735,204270,5600166,5600166,65673,167744,5241914,470687,366951,82176
Mississippi,28,56688,2967297,81481,52459,20393,54717,2981835,2981835,22763,45783,2941991,69211,63518,21727
Missouri,29,187563,5988927,212470,147254,40760,176154,6124160,6124160,44584,140464,5922314,256336,216698,68682
Montana,30,28347,989415,28565,20048,1877,28858,1061705,1061705,1317,19540,973739,23321,19119,10605
Nebraska,31,159907,1826341,167405,128060,47953,155339,1923826,1923826,45818,120603,1799125,142616,106298,63002
Nevada,32,629558,2700551,716501,540978,221979,656491,3030281,3030281,226688,524959,2633331,587808,508882,207778
New Hampshire,33,10102,1316470,36704,7822,2276,9190,1355244,1355244,2432,7437,1313939,82622,68999,3440
New Jersey,34,252172,8791894,1555144,217715,101763,215699,8885418,8885418,125383,202991,8721577,2012872,1773859,89456
New Mexico,35,671552,2059179,953403,590890,129628,668593,2097021,2097021,142248,526314,2013122,193223,195770,198890
New York,36,496747,19378102,3416922,457288,209202,464480,19514849,19514849,237779,422292,19229752,4372167,4180075,153413
North Carolina,37,563929,9535483,800120,486960,220943,542666,10386227,10386227,263998,458493,9271178,832602,682955,215872
North Dakota,38,21195,672591,13467,9223,2714,19558,760394,760394,792,9344,659858,32389,15807,8120
Ohio,39,219916,11536504,354674,172029,44019,206126,11675275,11675275,49372,168623,11512431,542704,440761,84237
Oklahoma,40,353908,3751351,332007,267016,105092,346321,3949342,3949342,95942,248661,3675339,237812,192788,137440
Oregon,41,446629,3831074,450062,369817,140613,445523,4176346,4176346,150507,353561,3761925,409867,364898,157816
Pennsylvania,42,159722,12702379,719660,129568,53749,158266,12794885,12794885,52621,115235,12612705,896853,704332,56487
Rhode Island,44,11317,1052567,130655,9090,3143,10956,1057798,1057798,3706,8858,1056389,148305,133548,3407
South Carolina,45,164506,4625364,235682,138358,62638,152356,5091517,5091517,74382,128752,4511428,263203,212259,62394
South Dakota,46,20450,814180,22119,13839,3635,22056,879336,879336,3238,13575,799462,34911,18663,8413
Tennessee,47,256113,6346105,290059,186615,89257,227090,6772268,6772268,92158,172662,6234968,347386,273300,99221
Texas,48,9031289,25145561,9460921,7951193,2445193,9530419,28635442,28635442,2383298,7704044,24311891,4822952,3913577,2821851
Utah,49,326430,2763885,358340,258905,98336,314819,3151239,3151239,99184,246844,2657236,264538,218283,122435
Vermont,50,3567,625741,9208,2534,711,3739,624340,624340,585,2757,624258,28468,24837,1049
Virginia,51,197511,8001024,631825,155067,56757,184600,8509358,8509358,61886,146743,7841754,1068489,848087,70526
Washington,53,783668,6724540,755790,601768,241393,760663,7512465,7512465,222969,563256,6561297,1089660,832746,283073
West Virginia,54,12539,1852994,22268,9704,1942,11650,1807426,1807426,1835,9120,1840802,29584,23917,4611
Wisconsin,55,299955,5686986,336056,244248,86500,289231,5806975,5806975,89881,229390,5637947,291187,257987,113215
Wyoming,56,41891,563626,50231,37719,8014,45354,581348,581348,7842,32892,545579,19274,16712,15593
