state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,-504682,5307664,7,7,0
Alaska,721523,-46065,767588,1,1,0
Arizona,6412700,96044,6316656,9,9,0
Arkansas,2926229,-277514,3203743,4,5,1
California,37341989,6056776,31285213,53,44,-9
Colorado,5044930,-171452,5216382,7,7,0
Connecticut,3581628,25188,3556440,5,5,0
Delaware,900877,-45633,946510,1,1,0
Florida,18900773,1359648,17541125,27,25,-2
Georgia,9727566,-348946,10076512,14,14,0
Hawaii,1366862,74884,1291978,2,2,0
Idaho,1573499,-122354,1695853,2,2,0
Illinois,12864380,149329,12715051,18,18,0
Indiana,6501582,-601454,7103036,9,10,1
Iowa,3053787,-293157,3346944,4,5,1
Kansas,2863813,-206116,3069929,4,4,0
Kentucky,4350606,-471163,4821769,6,7,1
Louisiana,4553962,-469431,5023393,6,7,1
Maine,1333074,-139988,1473062,2,2,0
Maryland,5789929,31662,5758267,8,8,0
Massachusetts,6559644,140933,6418711,9,9,0
Michigan,9911626,-737980,10649606,14,15,1
Minnesota,5314879,-338872,5653751,8,8,0
Mississippi,2978240,-352268,3330508,4,5,1
Missouri,6011478,-609929,6621407,8,9,1
Montana,994416,-120007,1114423,1,2,1
Nebraska,1831825,-139849,1971674,3,3,0
Nevada,2709432,194973,2514459,4,4,0
New Hampshire,1321445,-109663,1431108,2,2,0
New Jersey,8807501,770508,8036993,12,11,-1
New Mexico,2067273,-71200,2138473,3,3,0
New York,19421055,2005945,17415110,27,24,-3
North Carolina,9565781,-584183,10149964,13,14,1
North Dakota,675905,-78356,754261,1,1,0
Ohio,11568495,-1146613,12715108,16,18,2
Oklahoma,3764882,-316772,4081654,5,6,1
Oregon,3848606,-132054,3980660,5,6,1
Pennsylvania,12734905,-1011833,13746738,18,19,1
Rhode Island,1055247,2067,1053180,2,2,0
South Carolina,4645975,-420212,5066187,7,7,0
South Dakota,819761,-95614,915375,1,1,0
Tennessee,6375431,-597171,6972602,9,10,1
Texas,25268418,867303,24401115,36,34,-2
Utah,2770765,-145829,2916594,4,4,0
Vermont,630337,-61538,691875,1,1,0
Virginia,8037736,-177518,8215254,11,12,1
Washington,6753369,-11832,6765201,10,9,-1
West Virginia,1859815,-237974,2097789,3,3,0
Wisconsin,5698230,-518065,6216295,8,9,1
Wyoming,568300,-61972,630272,1,1,0
