state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,599612,4203370,7,7,0
Alaska,721523,90076,631447,1,1,0
Arizona,6412700,800572,5612128,9,9,0
Arkansas,2926229,365315,2560914,4,4,0
California,37341989,4661833,32680156,53,53,0
Colorado,5044930,629817,4415113,7,7,0
Connecticut,3581628,447136,3134492,5,5,0
Delaware,900877,112467,788410,1,1,0
Florida,18900773,2359602,16541171,27,27,0
Georgia,9727566,1214405,8513161,14,14,0
Hawaii,1366862,170641,1196221,2,2,0
Idaho,1573499,196438,1377061,2,2,0
Illinois,12864380,1606010,11258370,18,18,0
Indiana,6501582,811668,5689914,9,9,0
Iowa,3053787,381240,2672547,4,4,0
Kansas,2863813,357523,2506290,4,4,0
Kentucky,4350606,543137,3807469,6,6,0
Louisiana,4553962,568524,3985438,6,6,0
Maine,1333074,166423,1166651,2,2,0
Maryland,5789929,722824,5067105,8,8,0
Massachusetts,6559644,818916,5740728,9,9,0
Michigan,9911626,1237383,8674243,14,14,0
Minnesota,5314879,663518,4651361,8,8,0
Mississippi,2978240,371808,2606432,4,4,0
Missouri,6011478,750482,5260996,8,8,0
Montana,994416,124144,870272,1,1,0
Nebraska,1831825,228688,1603137,3,3,0
Nevada,2709432,338250,2371182,4,4,0
New Hampshire,1321445,164971,1156474,2,2,0
New Jersey,8807501,1099542,7707959,12,12,0
New Mexico,2067273,258082,1809191,3,3,0
New York,19421055,2424555,16996500,27,27,0
North Carolina,9565781,1194207,8371574,13,13,0
North Dakota,675905,84381,591524,1,1,0
Ohio,11568495,1444229,10124266,16,16,0
Oklahoma,3764882,470014,3294868,5,5,0
Oregon,3848606,480466,3368140,5,5,0
Pennsylvania,12734905,1589846,11145059,18,18,0
Rhode Island,1055247,131739,923508,2,2,0
South Carolina,4645975,580011,4065964,7,7,0
South Dakota,819761,102340,717421,1,1,0
Tennessee,6375431,795919,5579512,9,9,0
Texas,25268418,3154549,22113869,36,36,0
Utah,2770765,345907,2424858,4,4,0
Vermont,630337,78692,551645,1,1,0
Virginia,8037736,1003444,7034292,11,11,0
Washington,6753369,843101,5910268,10,10,0
West Virginia,1859815,232182,1627633,3,3,0
Wisconsin,5698230,711376,4986854,8,8,0
Wyoming,568300,70947,497353,1,1,0
