state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,61424,4741558,7,7,0
Alaska,721523,4399,717124,1,1,0
Arizona,6412700,550034,5862666,9,9,0
Arkansas,2926229,61769,2864460,4,4,0
California,37341989,4294900,33047089,53,48,-5
Colorado,5044930,234298,4810632,7,7,0
Connecticut,3581628,23954,3557674,5,5,0
Delaware,900877,16164,884713,1,1,0
Florida,18900773,285919,18614854,27,27,0
Georgia,9727566,279497,9448069,14,14,0
Hawaii,1366862,5105,1361757,2,2,0
Idaho,1573499,48870,1524629,2,2,0
Illinois,12864380,698504,12165876,18,18,0
Indiana,6501582,110257,6391325,9,9,0
Iowa,3053787,39495,3014292,4,4,0
Kansas,2863813,82883,2780930,4,4,0
Kentucky,4350606,35735,4314871,6,6,0
Louisiana,4553962,27244,4526718,6,7,1
Maine,1333074,800,1332274,2,2,0
Maryland,5789929,38475,5751454,8,8,0
Massachusetts,6559644,13747,6545897,9,10,1
Michigan,9911626,81273,9830353,14,14,0
Minnesota,5314879,65673,5249206,8,8,0
Mississippi,2978240,22763,2955477,4,4,0
Missouri,6011478,44584,5966894,8,9,1
Montana,994416,1317,993099,1,2,1
Nebraska,1831825,45818,1786007,3,3,0
Nevada,2709432,226688,2482744,4,4,0
New Hampshire,1321445,2432,1319013,2,2,0
New Jersey,8807501,125383,8682118,12,13,1
New Mexico,2067273,142248,1925025,3,3,0
New York,19421055,237779,19183276,27,28,1
North Carolina,9565781,263998,9301783,13,14,1
North Dakota,675905,792,675113,1,1,0
Ohio,11568495,49372,11519123,16,17,1
Oklahoma,3764882,95942,3668940,5,5,0
Oregon,3848606,150507,3698099,5,5,0
Pennsylvania,12734905,52621,12682284,18,18,0
Rhode Island,1055247,3706,1051541,2,2,0
South Carolina,4645975,74382,4571593,7,7,0
South Dakota,819761,3238,816523,1,1,0
Tennessee,6375431,92158,6283273,9,9,0
Texas,25268418,2383298,22885120,36,33,-3
Utah,2770765,99184,2671581,4,4,0
Vermont,630337,585,629752,1,1,0
Virginia,8037736,61886,7975850,11,12,1
Washington,6753369,222969,6530400,10,9,-1
West Virginia,1859815,1835,1857980,3,3,0
Wisconsin,5698230,89881,5608349,8,8,0
Wyoming,568300,7842,560458,1,1,0
