state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-100265,5130318,7,7,0
Alaska,736081,-20108,756189,1,1,0
Arizona,7158923,36234,7122689,9,9,0
Arkansas,3013756,-35186,3048942,4,4,0
California,39576757,1048987,38527770,52,51,-1
Colorado,5782171,-35215,5817386,8,8,0
Connecticut,3608298,-9340,3617638,5,5,0
Delaware,990837,-1789,992626,1,1,0
Florida,21570527,107436,21463091,28,28,0
Georgia,10725274,-4063,10729337,14,14,0
Hawaii,1460137,-14538,1474675,2,2,0
Idaho,1841377,-30334,1871711,2,3,1
Illinois,12822739,-8999,12831738,17,17,0
Indiana,6790280,-118487,6908767,9,9,0
Iowa,3192406,-61588,3253994,4,4,0
Kansas,2940865,-20244,2961109,4,4,0
Kentucky,4509342,-93291,4602633,6,6,0
Louisiana,4661468,-90349,4751817,6,6,0
Maine,1363582,-39400,1402982,2,2,0
Maryland,6185278,39121,6146157,8,8,0
Massachusetts,7033469,-43540,7077009,9,9,0
Michigan,10084442,-207818,10292260,13,13,0
Minnesota,5709752,-102144,5811896,8,8,0
Mississippi,2963914,-75385,3039299,4,4,0
Missouri,6160281,-147319,6307600,8,8,0
Montana,1085407,-34049,1119456,2,2,0
Nebraska,1963333,-22600,1985933,3,3,0
Nevada,3108462,84700,3023762,4,4,0
New Hampshire,1379089,-32158,1411247,2,2,0
New Jersey,9294493,141448,9153045,12,12,0
New Mexico,2120220,-14236,2134456,3,3,0
New York,20215751,10918,20204833,26,26,0
North Carolina,10453948,-22570,10476518,14,14,0
North Dakota,779702,-17591,797293,1,1,0
Ohio,11808848,-278665,12087513,15,16,1
Oklahoma,3963516,-38645,4002161,5,5,0
Oregon,4241500,-27681,4269181,6,6,0
Pennsylvania,13011844,-258492,13270336,17,17,0
Rhode Island,1098163,-8344,1106507,2,2,0
South Carolina,5124712,-61924,5186636,7,7,0
South Dakota,887770,-21280,909050,1,1,0
Tennessee,6916897,-88504,7005401,9,9,0
Texas,29183290,898775,28284515,38,37,-1
Utah,3275252,-11924,3287176,4,4,0
Vermont,643503,-17124,660627,1,1,0
Virginia,8654542,-9795,8664337,11,11,0
Washington,7715946,35315,7680631,10,10,0
West Virginia,1795045,-54543,1849588,2,2,0
Wisconsin,5897473,-110980,6008453,8,8,0
Wyoming,577719,-12424,590143,1,1,0
