state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,157916,4872137,7,7,0
Alaska,736081,23109,712972,1,1,0
Arizona,7158923,224751,6934172,9,9,0
Arkansas,3013756,94616,2919140,4,4,0
California,39576757,1242494,38334263,52,52,0
Colorado,5782171,181529,5600642,8,8,0
Connecticut,3608298,113281,3495017,5,5,0
Delaware,990837,31107,959730,1,1,0
Florida,21570527,677197,20893330,28,28,0
Georgia,10725274,336715,10388559,14,14,0
Hawaii,1460137,45840,1414297,2,2,0
Idaho,1841377,57809,1783568,2,2,0
Illinois,12822739,402564,12420175,17,17,0
Indiana,6790280,213178,6577102,9,9,0
Iowa,3192406,100224,3092182,4,4,0
Kansas,2940865,92327,2848538,4,4,0
Kentucky,4509342,141569,4367773,6,6,0
Louisiana,4661468,146345,4515123,6,6,0
Maine,1363582,42809,1320773,2,2,0
Maryland,6185278,194184,5991094,8,8,0
Massachusetts,7033469,220813,6812656,9,9,0
Michigan,10084442,316597,9767845,13,13,0
Minnesota,5709752,179255,5530497,8,8,0
Mississippi,2963914,93051,2870863,4,4,0
Missouri,6160281,193399,5966882,8,8,0
Montana,1085407,34076,1051331,2,2,0
Nebraska,1963333,61638,1901695,3,3,0
Nevada,3108462,97589,3010873,4,4,0
New Hampshire,1379089,43296,1335793,2,2,0
New Jersey,9294493,291796,9002697,12,12,0
New Mexico,2120220,66563,2053657,3,3,0
New York,20215751,634664,19581087,26,26,0
North Carolina,10453948,328197,10125751,14,14,0
North Dakota,779702,24478,755224,1,1,0
Ohio,11808848,370733,11438115,15,15,0
Oklahoma,3963516,124433,3839083,5,5,0
Oregon,4241500,133160,4108340,6,6,0
Pennsylvania,13011844,408501,12603343,17,17,0
Rhode Island,1098163,34476,1063687,2,2,0
South Carolina,5124712,160888,4963824,7,7,0
South Dakota,887770,27871,859899,1,1,0
Tennessee,6916897,217153,6699744,9,9,0
Texas,29183290,916196,28267094,38,38,0
Utah,3275252,102825,3172427,4,4,0
Vermont,643503,20202,623301,1,1,0
Virginia,8654542,271705,8382837,11,11,0
Washington,7715946,242239,7473707,10,10,0
West Virginia,1795045,56355,1738690,2,2,0
Wisconsin,5897473,185149,5712324,8,8,0
Wyoming,577719,18137,559582,1,1,0
