state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,-122803,4925785,7,7,0
Alaska,721523,-23464,744987,1,1,0
Arizona,6412700,322248,6090452,9,9,0
Arkansas,2926229,-49526,2975755,4,4,0
California,37341989,3010899,34331090,53,48,-5
Colorado,5044930,47387,4997543,7,7,0
Connecticut,3581628,-114275,3695903,5,5,0
Delaware,900877,-18210,919087,1,1,0
Florida,18900773,-437337,19338110,27,27,0
Georgia,9727566,-87595,9815161,14,14,0
Hawaii,1366862,-47804,1414666,2,2,0
Idaho,1573499,-10367,1583866,2,2,0
Illinois,12864380,225815,12638565,18,18,0
Indiana,6501582,-138070,6639652,9,9,0
Iowa,3053787,-77621,3131408,4,4,0
Kansas,2863813,-25166,2888979,4,4,0
Kentucky,4350606,-131914,4482520,6,6,0
Louisiana,4553962,-148636,4702598,6,7,1
Maine,1333074,-50964,1384038,2,2,0
Maryland,5789929,-184990,5974919,8,8,0
Massachusetts,6559644,-240585,6800229,9,10,1
Michigan,9911626,-300672,10212298,14,14,0
Minnesota,5314879,-138278,5453157,8,8,0
Mississippi,2978240,-92068,3070308,4,4,0
Missouri,6011478,-187252,6198730,8,9,1
Montana,994416,-37269,1031685,1,2,1
Nebraska,1831825,-23575,1855400,3,3,0
Nevada,2709432,130224,2579208,4,4,0
New Hampshire,1321445,-48817,1370262,2,2,0
New Jersey,8807501,-211949,9019450,12,13,1
New Mexico,2067273,67454,1999819,3,3,0
New York,19421055,-507562,19928617,27,28,1
North Carolina,9565781,-97411,9663192,13,14,1
North Dakota,675905,-25439,701344,1,1,0
Ohio,11568495,-398188,11966683,16,17,1
Oklahoma,3764882,-46610,3811492,5,5,0
Oregon,3848606,6822,3841784,5,5,0
Pennsylvania,12734905,-440132,13175037,18,18,0
Rhode Island,1055247,-37150,1092397,2,2,0
South Carolina,4645975,-103241,4749216,7,7,0
South Dakota,819761,-28487,848248,1,1,0
Tennessee,6375431,-151970,6527401,9,9,0
Texas,25268418,1494127,23774291,36,33,-3
Utah,2770765,-4617,2775382,4,4,0
Vermont,630337,-23883,654220,1,1,0
Virginia,8037736,-248005,8285741,11,12,1
Washington,6753369,-30761,6784130,10,9,-1
West Virginia,1859815,-70354,1930169,3,3,0
Wisconsin,5698230,-128024,5826254,8,8,0
Wyoming,568300,-13934,582234,1,1,0
