state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,-413432,5216414,7,7,0
Alaska,721523,-58565,780088,1,1,0
Arizona,6412700,1112734,5299966,9,7,-2
Arkansas,2926229,-181319,3107548,4,4,0
California,37341989,8452806,28889183,53,41,-12
Colorado,5044930,265798,4779132,7,7,0
Connecticut,3581628,-353997,3935625,5,6,1
Delaware,900877,-69488,970365,1,1,0
Florida,18900773,-1464173,20364946,27,29,2
Georgia,9727566,-535756,10263322,14,14,0
Hawaii,1366862,-117171,1484033,2,2,0
Idaho,1573499,-14336,1587835,2,2,0
Illinois,12864380,311763,12552617,18,18,0
Indiana,6501582,-415868,6917450,9,10,1
Iowa,3053787,-219460,3273247,4,5,1
Kansas,2863813,-52560,2916373,4,4,0
Kentucky,4350606,-407066,4757672,6,7,1
Louisiana,4553962,-434236,4988198,6,7,1
Maine,1333074,-147050,1480124,2,2,0
Maryland,5789929,-565445,6355374,8,9,1
Massachusetts,6559644,-708968,7268612,9,10,1
Michigan,9911626,-781553,10693179,14,15,1
Minnesota,5314879,-412916,5727795,8,8,0
Mississippi,2978240,-282840,3261080,4,5,1
Missouri,6011478,-524795,6536273,8,9,1
Montana,994416,-91616,1086032,1,2,1
Nebraska,1831825,-67194,1899019,3,3,0
Nevada,2709432,292470,2416962,4,3,-1
New Hampshire,1321445,-142721,1464166,2,2,0
New Jersey,8807501,-766688,9574189,12,13,1
New Mexico,2067273,421694,1645579,3,2,-1
New York,19421055,-1715989,21137044,27,30,3
North Carolina,9565781,-553487,10119268,13,14,1
North Dakota,675905,-67180,743085,1,1,0
Ohio,11568495,-1134024,12702519,16,18,2
Oklahoma,3764882,-133845,3898727,5,5,0
Oregon,3848606,-28858,3877464,5,5,0
Pennsylvania,12734905,-1315023,14049928,18,20,2
Rhode Island,1055247,-110801,1166048,2,2,0
South Carolina,4645975,-378222,5024197,7,7,0
South Dakota,819761,-78521,898282,1,1,0
Tennessee,6375431,-522633,6898064,9,10,1
Texas,25268418,5966612,19301806,36,27,-9
Utah,2770765,-28958,2799723,4,4,0
Vermont,630337,-69413,699750,1,1,0
Virginia,8037736,-748299,8786035,11,12,1
Washington,6753369,-103215,6856584,10,10,0
West Virginia,1859815,-202322,2062137,3,3,0
Wisconsin,5698230,-380787,6079017,8,9,1
Wyoming,568300,-23086,591386,1,1,0
