state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,60000,4970053,7,7,0
Alaska,736081,5000,731081,1,1,0
Arizona,7158923,250000,6908923,9,9,0
Arkansas,3013756,70000,2943756,4,4,0
California,39576757,1850000,37726757,52,51,-1
Colorado,5782171,160000,5622171,8,8,0
Connecticut,3608298,140000,3468298,5,5,0
Delaware,990837,30000,960837,1,1,0
Florida,21570527,900000,20670527,28,28,0
Georgia,10725274,350000,10375274,14,14,0
Hawaii,1460137,40000,1420137,2,2,0
Idaho,1841377,35000,1806377,2,2,0
Illinois,12822739,400000,12422739,17,17,0
Indiana,6790280,110000,6680280,9,9,0
Iowa,3192406,45000,3147406,4,4,0
Kansas,2940865,75000,2865865,4,4,0
Kentucky,4509342,55000,4454342,6,6,0
Louisiana,4661468,70000,4591468,6,6,0
Maine,1363582,5000,1358582,2,2,0
Maryland,6185278,275000,5910278,8,8,0
Massachusetts,7033469,300000,6733469,9,9,0
Michigan,10084442,120000,9964442,13,13,0
Minnesota,5709752,90000,5619752,8,8,0
Mississippi,2963914,20000,2943914,4,4,0
Missouri,6160281,65000,6095281,8,8,0
Montana,1085407,2500,1082907,2,2,0
Nebraska,1963333,45000,1918333,3,3,0
Nevada,3108462,190000,2918462,4,4,0
New Hampshire,1379089,15000,1364089,2,2,0
New Jersey,9294493,450000,8844493,12,12,0
New Mexico,2120220,55000,2065220,3,3,0
New York,20215751,600000,19615751,26,27,1
North Carolina,10453948,325000,10128948,14,14,0
North Dakota,779702,5000,774702,1,1,0
Ohio,11808848,120000,11688848,15,16,1
Oklahoma,3963516,85000,3878516,5,5,0
Oregon,4241500,120000,4121500,6,6,0
Pennsylvania,13011844,220000,12791844,17,17,0
Rhode Island,1098163,40000,1058163,2,2,0
South Carolina,5124712,95000,5029712,7,7,0
South Dakota,887770,10000,877770,1,1,0
Tennessee,6916897,140000,6776897,9,9,0
Texas,29183290,1600000,27583290,38,37,-1
Utah,3275252,95000,3180252,4,4,0
Vermont,643503,2500,641003,1,1,0
Virginia,8654542,275000,8379542,11,11,0
Washington,7715946,300000,7415946,10,10,0
West Virginia,1795045,2500,1792545,2,2,0
Wisconsin,5897473,80000,5817473,8,8,0
Wyoming,577719,2500,575219,1,1,0
