state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,179634,4623348,7,7,0
Alaska,721523,26985,694538,1,1,0
Arizona,6412700,239838,6172862,9,9,0
Arkansas,2926229,109443,2816786,4,4,0
California,37341989,1396610,35945379,53,53,0
Colorado,5044930,188683,4856247,7,7,0
Connecticut,3581628,133955,3447673,5,5,0
Delaware,900877,33693,867184,1,1,0
Florida,18900773,706899,18193874,27,27,0
Georgia,9727566,363816,9363750,14,14,0
Hawaii,1366862,51121,1315741,2,2,0
Idaho,1573499,58850,1514649,2,2,0
Illinois,12864380,481135,12383245,18,18,0
Indiana,6501582,243163,6258419,9,9,0
Iowa,3053787,114213,2939574,4,4,0
Kansas,2863813,107108,2756705,4,4,0
Kentucky,4350606,162715,4187891,6,6,0
Louisiana,4553962,170321,4383641,6,6,0
Maine,1333074,49858,1283216,2,2,0
Maryland,5789929,216546,5573383,8,8,0
Massachusetts,6559644,245334,6314310,9,9,0
Michigan,9911626,370700,9540926,14,14,0
Minnesota,5314879,198779,5116100,8,8,0
Mississippi,2978240,111388,2866852,4,4,0
Missouri,6011478,224832,5786646,8,8,0
Montana,994416,37192,957224,1,1,0
Nebraska,1831825,68511,1763314,3,3,0
Nevada,2709432,101334,2608098,4,4,0
New Hampshire,1321445,49423,1272022,2,2,0
New Jersey,8807501,329405,8478096,12,12,0
New Mexico,2067273,77317,1989956,3,3,0
New York,19421055,726358,18694697,27,27,0
North Carolina,9565781,357765,9208016,13,13,0
North Dakota,675905,25279,650626,1,1,0
Ohio,11568495,432668,11135827,16,16,0
Oklahoma,3764882,140809,3624073,5,5,0
Oregon,3848606,143940,3704666,5,5,0
Pennsylvania,12734905,476292,12258613,18,18,0
Rhode Island,1055247,39467,1015780,2,2,0
South Carolina,4645975,173762,4472213,7,7,0
South Dakota,819761,30660,789101,1,1,0
Tennessee,6375431,238445,6136986,9,9,0
Texas,25268418,945052,24323366,36,36,0
Utah,2770765,103628,2667137,4,4,0
Vermont,630337,23575,606762,1,1,0
Virginia,8037736,300616,7737120,11,11,0
Washington,6753369,252580,6500789,10,10,0
West Virginia,1859815,69558,1790257,3,3,0
Wisconsin,5698230,213117,5485113,8,8,0
Wyoming,568300,21255,547045,1,1,0
