state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,-89523,4892505,7,7,0
Alaska,721523,-17103,738626,1,1,0
Arizona,6412700,93113,6319587,9,9,0
Arkansas,2926229,-38797,2965026,4,4,0
California,37341989,1172830,36169159,53,51,-2
Colorado,5044930,5070,5039860,7,7,0
Connecticut,3581628,-1476,3583104,5,5,0
Delaware,900877,-13554,914431,1,1,0
Florida,18900773,214330,18686443,27,26,-1
Georgia,9727566,44703,9682863,14,14,0
Hawaii,1366862,-10542,1377404,2,2,0
Idaho,1573499,-23603,1597102,2,2,0
Illinois,12864380,29027,12835353,18,18,0
Indiana,6501582,-143843,6645425,9,9,0
Iowa,3053787,-69608,3123395,4,4,0
Kansas,2863813,-20848,2884661,4,4,0
Kentucky,4350606,-113815,4464421,6,6,0
Louisiana,4553962,-105990,4659952,6,7,1
Maine,1333074,-48183,1381257,2,2,0
Maryland,5789929,38978,5750951,8,8,0
Massachusetts,6559644,-63008,6622652,9,9,0
Michigan,9911626,-263355,10174981,14,14,0
Minnesota,5314879,-109021,5423900,8,8,0
Mississippi,2978240,-87492,3065732,4,4,0
Missouri,6011478,-161508,6172986,8,9,1
Montana,994416,-35283,1029699,1,2,1
Nebraska,1831825,-23062,1854887,3,3,0
Nevada,2709432,135556,2573876,4,4,0
New Hampshire,1321445,-39954,1361399,2,2,0
New Jersey,8807501,157606,8649895,12,12,0
New Mexico,2067273,9493,2057780,3,3,0
New York,19421055,90703,19330352,27,27,0
North Carolina,9565781,-1039,9566820,13,13,0
North Dakota,675905,-23151,699056,1,1,0
Ohio,11568495,-336848,11905343,16,17,1
Oklahoma,3764882,-49980,3814862,5,5,0
Oregon,3848606,-11646,3860252,5,5,0
Pennsylvania,12734905,-329373,13064278,18,18,0
Rhode Island,1055247,-3862,1059109,2,2,0
South Carolina,4645975,-73161,4719136,7,7,0
South Dakota,819761,-28630,848391,1,1,0
Tennessee,6375431,-118276,6493707,9,9,0
Texas,25268418,750348,24518070,36,35,-1
Utah,2770765,8648,2762117,4,4,0
Vermont,630337,-21415,651752,1,1,0
Virginia,8037736,-20691,8058427,11,11,0
Washington,6753369,-28863,6782232,10,10,0
West Virginia,1859815,-68247,1928062,3,3,0
Wisconsin,5698230,-139195,5837425,8,8,0
Wyoming,568300,-16457,584757,1,1,0
