state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,59900,4970153,7,7,0
Alaska,736081,3500,732581,1,1,0
Arizona,7158923,258600,6900323,9,9,0
Arkansas,3013756,60000,2953756,4,4,0
California,39576757,2251800,37324957,52,51,-1
Colorado,5782171,146400,5635771,8,8,0
Connecticut,3608298,103600,3504698,5,5,0
Delaware,990837,29200,961637,1,1,0
Florida,21570527,777500,20793027,28,28,0
Georgia,10725274,330900,10394374,14,14,0
Hawaii,1460137,31500,1428637,2,2,0
Idaho,1841377,28100,1813277,2,3,1
Illinois,12822739,391600,12431139,17,17,0
Indiana,6790280,97200,6693080,9,9,0
Iowa,3192406,40000,3152406,4,4,0
Kansas,2940865,72200,2868665,4,4,0
Kentucky,4509342,50400,4458942,6,6,0
Louisiana,4661468,58000,4603468,6,6,0
Maine,1363582,4400,1359182,2,2,0
Maryland,6185278,231000,5954278,8,8,0
Massachusetts,7033469,177400,6856069,9,9,0
Michigan,10084442,113500,9970942,13,13,0
Minnesota,5709752,79300,5630452,8,8,0
Mississippi,2963914,19500,2944414,4,4,0
Missouri,6160281,49600,6110681,8,8,0
Montana,1085407,900,1084507,2,2,0
Nebraska,1963333,39400,1923933,3,3,0
Nevada,3108462,179100,2929362,4,4,0
New Hampshire,1379089,11900,1367189,2,2,0
New Jersey,9294493,427200,8867293,12,12,0
New Mexico,2120220,52400,2067820,3,3,0
New York,20215751,641700,19574051,26,26,0
North Carolina,10453948,304500,10149448,14,14,0
North Dakota,779702,7300,772402,1,1,0
Ohio,11808848,98700,11710148,15,16,1
Oklahoma,3963516,86300,3877216,5,5,0
Oregon,4241500,105600,4135900,6,6,0
Pennsylvania,13011844,155800,12856044,17,17,0
Rhode Island,1098163,26200,1071963,2,2,0
South Carolina,5124712,100000,5024712,7,7,0
South Dakota,887770,7100,880670,1,1,0
Tennessee,6916897,130200,6786697,9,9,0
Texas,29183290,1781800,27401490,38,37,-1
Utah,3275252,90700,3184552,4,4,0
Vermont,643503,3500,640003,1,1,0
Virginia,8654542,260700,8393842,11,11,0
Washington,7715946,275100,7440846,10,10,0
West Virginia,1795045,3200,1791845,2,2,0
Wisconsin,5897473,76600,5820873,8,8,0
Wyoming,577719,6000,571719,1,1,0
