state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-483182,5513235,7,7,0
Alaska,736081,-59076,795157,1,1,0
Arizona,7158923,1340350,5818573,9,8,-1
Arkansas,3013756,-185591,3199347,4,4,0
California,39576757,9295029,30281728,52,40,-12
Colorado,5782171,285443,5496728,8,7,-1
Connecticut,3608298,-375916,3984214,5,5,0
Delaware,990837,-84609,1075446,1,1,0
Florida,21570527,-1876451,23446978,28,31,3
Georgia,10725274,-702074,11427348,14,15,1
Hawaii,1460137,-128018,1588155,2,2,0
Idaho,1841377,-16201,1857578,2,2,0
Illinois,12822739,331385,12491354,17,16,-1
Indiana,6790280,-459168,7249448,9,10,1
Iowa,3192406,-229030,3421436,4,5,1
Kansas,2940865,-43883,2984748,4,4,0
Kentucky,4509342,-457310,4966652,6,7,1
Louisiana,4661468,-478827,5140295,6,7,1
Maine,1363582,-161053,1524635,2,2,0
Maryland,6185278,-657184,6842462,8,9,1
Massachusetts,7033469,-818379,7851848,9,10,1
Michigan,10084442,-832875,10917317,13,14,1
Minnesota,5709752,-478304,6188056,8,8,0
Mississippi,2963914,-305968,3269882,4,4,0
Missouri,6160281,-565763,6726044,8,9,1
Montana,1085407,-102134,1187541,2,2,0
Nebraska,1963333,-68818,2032151,3,3,0
Nevada,3108462,352494,2755968,4,4,0
New Hampshire,1379089,-160651,1539740,2,2,0
New Jersey,9294493,-909897,10204390,12,13,1
New Mexico,2120220,488619,1631601,3,2,-1
New York,20215751,-1984298,22200049,26,29,3
North Carolina,10453948,-686143,11140091,14,15,1
North Dakota,779702,-74685,854387,1,1,0
Ohio,11808848,-1232389,13041237,15,17,2
Oklahoma,3963516,-102142,4065658,5,5,0
Oregon,4241500,-25105,4266605,6,6,0
Pennsylvania,13011844,-1435331,14447175,17,19,2
Rhode Island,1098163,-123837,1222000,2,2,0
South Carolina,5124712,-464121,5588833,7,7,0
South Dakota,887770,-85276,973046,1,1,0
Tennessee,6916897,-602318,7519215,9,10,1
Texas,29183290,7093840,22089450,38,29,-9
Utah,3275252,-52218,3327470,4,4,0
Vermont,643503,-75579,719082,1,1,0
Virginia,8654542,-865510,9520052,11,13,2
Washington,7715946,-101659,7817605,10,10,0
West Virginia,1795045,-209457,2004502,2,3,1
Wisconsin,5897473,-406083,6303556,8,8,0
Wyoming,577719,-20649,598368,1,1,0
