state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-96894,5126947,7,7,0
Alaska,736081,-12921,749002,1,1,0
Arizona,7158923,31901,7127022,9,9,0
Arkansas,3013756,-22928,3036684,4,4,0
California,39576757,710628,38866129,52,51,-1
Colorado,5782171,-7164,5789335,8,8,0
Connecticut,3608298,30514,3577784,5,5,0
Delaware,990837,-331,991168,1,1,0
Florida,21570527,118531,21451996,28,28,0
Georgia,10725274,22476,10702798,14,14,0
Hawaii,1460137,-4831,1464968,2,2,0
Idaho,1841377,-16865,1858242,2,2,0
Illinois,12822739,7842,12814897,17,17,0
Indiana,6790280,-100882,6891162,9,9,0
Iowa,3192406,-54357,3246763,4,4,0
Kansas,2940865,-20627,2961492,4,4,0
Kentucky,4509342,-90772,4600114,6,6,0
Louisiana,4661468,-80100,4741568,6,6,0
Maine,1363582,-37887,1401469,2,2,0
Maryland,6185278,88426,6096852,8,8,0
Massachusetts,7033469,61650,6971819,9,9,0
Michigan,10084442,-194555,10278997,13,13,0
Minnesota,5709752,-97719,5807471,8,8,0
Mississippi,2963914,-72933,3036847,4,4,0
Missouri,6160281,-132572,6292853,8,8,0
Montana,1085407,-31685,1117092,2,2,0
Nebraska,1963333,-15558,1978891,3,3,0
Nevada,3108462,108186,3000276,4,4,0
New Hampshire,1379089,-28061,1407150,2,2,0
New Jersey,9294493,119221,9175272,12,12,0
New Mexico,2120220,-10194,2130414,3,3,0
New York,20215751,-45015,20260766,26,27,1
North Carolina,10453948,5252,10448696,14,14,0
North Dakota,779702,-19456,799158,1,1,0
Ohio,11808848,-259307,12068155,15,16,1
Oklahoma,3963516,-37436,4000952,5,5,0
Oregon,4241500,-20422,4261922,6,6,0
Pennsylvania,13011844,-204442,13216286,17,17,0
Rhode Island,1098163,1438,1096725,2,2,0
South Carolina,5124712,-68935,5193647,7,7,0
South Dakota,887770,-22867,910637,1,1,0
Tennessee,6916897,-84247,7001144,9,9,0
Texas,29183290,677678,28505612,38,37,-1
Utah,3275252,-236,3275488,4,4,0
Vermont,643503,-17735,661238,1,1,0
Virginia,8654542,36266,8618276,11,11,0
Washington,7715946,65895,7650051,10,10,0
West Virginia,1795045,-54087,1849132,2,2,0
Wisconsin,5897473,-108803,6006276,8,8,0
Wyoming,577719,-13079,590798,1,1,0
