state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,260260,4769793,7,7,0
Alaska,736081,38086,697995,1,1,0
Arizona,7158923,370411,6788512,9,9,0
Arkansas,3013756,155935,2857821,4,4,0
California,39576757,2047745,37529012,52,52,0
Colorado,5782171,299176,5482995,8,8,0
Connecticut,3608298,186697,3421601,5,5,0
Delaware,990837,51267,939570,1,1,0
Florida,21570527,1116083,20454444,28,28,0
Georgia,10725274,554937,10170337,14,14,0
Hawaii,1460137,75549,1384588,2,2,0
Idaho,1841377,95275,1746102,2,2,0
Illinois,12822739,663463,12159276,17,17,0
Indiana,6790280,351337,6438943,9,9,0
Iowa,3192406,165179,3027227,4,4,0
Kansas,2940865,152164,2788701,4,4,0
Kentucky,4509342,233318,4276024,6,6,0
Louisiana,4661468,241189,4420279,6,6,0
Maine,1363582,70553,1293029,2,2,0
Maryland,6185278,320033,5865245,8,8,0
Massachusetts,7033469,363919,6669550,9,9,0
Michigan,10084442,521780,9562662,13,13,0
Minnesota,5709752,295429,5414323,8,8,0
Mississippi,2963914,153356,2810558,4,4,0
Missouri,6160281,318740,5841541,8,8,0
Montana,1085407,56160,1029247,2,2,0
Nebraska,1963333,101585,1861748,3,3,0
Nevada,3108462,160835,2947627,4,4,0
New Hampshire,1379089,71356,1307733,2,2,0
New Jersey,9294493,480907,8813586,12,12,0
New Mexico,2120220,109703,2010517,3,3,0
New York,20215751,1045985,19169766,26,26,0
North Carolina,10453948,540899,9913049,14,14,0
North Dakota,779702,40343,739359,1,1,0
Ohio,11808848,611003,11197845,15,15,0
Oklahoma,3963516,205077,3758439,5,5,0
Oregon,4241500,219460,4022040,6,6,0
Pennsylvania,13011844,673247,12338597,17,17,0
Rhode Island,1098163,56820,1041343,2,2,0
South Carolina,5124712,265158,4859554,7,7,0
South Dakota,887770,45934,841836,1,1,0
Tennessee,6916897,357888,6559009,9,9,0
Texas,29183290,1509976,27673314,38,38,0
Utah,3275252,169465,3105787,4,4,0
Vermont,643503,33296,610207,1,1,0
Virginia,8654542,447796,8206746,11,11,0
Washington,7715946,399232,7316714,10,10,0
West Virginia,1795045,92878,1702167,2,2,0
Wisconsin,5897473,305142,5592331,8,8,0
Wyoming,577719,29892,547827,1,1,0
