state_name,kids_per_mexborn_2010,kids_per_mexborn_2023,kids_per_mexborn_2020_interp
Alabama,0.43142332229085595,0.8021579205492889,0.7166037824896505
Alaska,0.6259464916708734,0.5395553257497415,0.559491748654618
Arizona,0.673448852822855,0.5510977272031121,0.5793326023461297
Arkansas,0.5948762025392804,0.7182692619101597,0.6897939405168799
California,0.6173017737772188,0.5269770169915488,0.5478211916343957
Colorado,0.6422059384578953,0.5873022743559038,0.5999723506871326
Connecticut,0.4784572443542248,0.5721141911460488,0.5505010495787048
Delaware,0.48556100145714665,0.653181718784168,0.6145000147856247
Florida,0.6187363256143756,0.6467958097707328,0.6403205441961888
Georgia,0.5380128796741999,0.6310681999877006,0.6095938952999697
Hawaii,0.8360168829138659,0.5974674514000357,0.6525173202109196
Idaho,0.7501468700363367,0.569755316375554,0.6113841364511192
Illinois,0.5941141391687058,0.4802159893427559,0.5065001777641289
Indiana,0.5455397778991443,0.7475289071242074,0.7009160311491929
Iowa,0.6301787385975225,0.6118874854429813,0.6161085438632601
Kansas,0.5404510588081033,0.5923150701354754,0.5803464521368511
Kentucky,0.4428758669652122,0.6287216828478964,0.5858341868749694
Louisiana,0.43523966704936856,0.5856209150326798,0.5509175501134541
Maine,0.7440585009140768,0.45253863134657835,0.5198124474006165
Maryland,0.5169111927688222,0.7575788248393137,0.7020401405153541
Massachusetts,0.5599527466036621,0.4146981627296588,0.44821845131596727
Michigan,0.6607766172735545,0.5287289748348128,0.5592015077052916
Minnesota,0.6079557540948735,0.7296123457930971,0.7015377477088917
Mississippi,0.3837448044468927,0.6487643920247121,0.5876060256605999
Missouri,0.552928666772245,0.5705823668786631,0.5665084360848743
Montana,1.0144144144144145,0.5947085889570553,0.691563779447215
Nebraska,0.6887222876727,0.6764239149082175,0.6792620009307904
Nevada,0.6470987967526819,0.5370733550441713,0.5624638415922891
New Hampshire,0.3040973111395647,0.7436332767402377,0.6422019000631594
New Jersey,0.5013796124787678,0.6584138256804521,0.622175161095448
New Mexico,0.5909975970148281,0.5446229807637423,0.5553248152832236
New York,0.5421305766798358,0.5522894812108463,0.549945118626767
North Carolina,0.5835284979124187,0.6698178090653022,0.6499048911069445
North Dakota,1.0908212560386474,0.9255989911727617,0.9637272061418123
Ohio,0.5315242832065535,0.6375684183090402,0.613096694823851
Oklahoma,0.5850770248558738,0.71894663027822,0.6880536444115247
Oregon,0.6428646476320559,0.5920491686798351,0.6037758176688092
Pennsylvania,0.42410344510231,0.5630320358697771,0.5309715918465154
Rhode Island,0.9522916108281962,0.6873038018835019,0.7484548347168929
South Carolina,0.5398945156977684,0.6608682313238227,0.6329512200255024
South Dakota,0.5603125,0.7243052492280547,0.6864607686369653
Tennessee,0.5533304646210542,0.7229122564479198,0.6837779967955662
Texas,0.6229507739016882,0.5477302540321457,0.5650888355405017
Utah,0.639402057636137,0.6943741943102312,0.6816883166162094
Vermont,1.5072463768115942,0.0,0.3478260869565217
Virginia,0.6913001044466894,0.6449248691811621,0.6556268465501299
Washington,0.6920334859029112,0.63099391827119,0.6450799723400488
West Virginia,1.5235655737704918,1.0153621068032188,1.1326398299495126
Wisconsin,0.5874325870240236,0.6032063697008823,0.5995662660062225
Wyoming,0.5338390599434776,0.7207402812241522,0.6776092301593812
