state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,153928,4876125,7,7,0
Alaska,736081,22525,713556,1,1,0
Arizona,7158923,219076,6939847,9,9,0
Arkansas,3013756,92226,2921530,4,4,0
California,39576757,1211118,38365639,52,52,0
Colorado,5782171,176945,5605226,8,8,0
Connecticut,3608298,110420,3497878,5,5,0
Delaware,990837,30321,960516,1,1,0
Florida,21570527,660096,20910431,28,28,0
Georgia,10725274,328212,10397062,14,14,0
Hawaii,1460137,44683,1415454,2,2,0
Idaho,1841377,56349,1785028,2,2,0
Illinois,12822739,392398,12430341,17,17,0
Indiana,6790280,207795,6582485,9,9,0
Iowa,3192406,97693,3094713,4,4,0
Kansas,2940865,89996,2850869,4,4,0
Kentucky,4509342,137994,4371348,6,6,0
Louisiana,4661468,142649,4518819,6,6,0
Maine,1363582,41728,1321854,2,2,0
Maryland,6185278,189280,5995998,8,8,0
Massachusetts,7033469,215237,6818232,9,9,0
Michigan,10084442,308602,9775840,13,13,0
Minnesota,5709752,174728,5535024,8,8,0
Mississippi,2963914,90701,2873213,4,4,0
Missouri,6160281,188515,5971766,8,8,0
Montana,1085407,33215,1052192,2,2,0
Nebraska,1963333,60081,1903252,3,3,0
Nevada,3108462,95124,3013338,4,4,0
New Hampshire,1379089,42203,1336886,2,2,0
New Jersey,9294493,284428,9010065,12,12,0
New Mexico,2120220,64882,2055338,3,3,0
New York,20215751,618638,19597113,26,26,0
North Carolina,10453948,319909,10134039,14,14,0
North Dakota,779702,23860,755842,1,1,0
Ohio,11808848,361372,11447476,15,15,0
Oklahoma,3963516,121291,3842225,5,5,0
Oregon,4241500,129797,4111703,6,6,0
Pennsylvania,13011844,398185,12613659,17,17,0
Rhode Island,1098163,33606,1064557,2,2,0
South Carolina,5124712,156825,4967887,7,7,0
South Dakota,887770,27167,860603,1,1,0
Tennessee,6916897,211669,6705228,9,9,0
Texas,29183290,893060,28290230,38,38,0
Utah,3275252,100228,3175024,4,4,0
Vermont,643503,19692,623811,1,1,0
Virginia,8654542,264844,8389698,11,11,0
Washington,7715946,236122,7479824,10,10,0
West Virginia,1795045,54932,1740113,2,2,0
Wisconsin,5897473,180473,5717000,8,8,0
Wyoming,577719,17679,560040,1,1,0
