state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,148193,4881860,7,7,0
Alaska,736081,25177,710904,1,1,0
Arizona,7158923,1842769,5316154,9,8,-1
Arkansas,3013756,171732,2842024,4,4,0
California,39576757,12202347,27374410,52,40,-12
Colorado,5782171,874342,4907829,8,7,-1
Connecticut,3608298,59453,3548845,5,5,0
Delaware,990837,37201,953636,1,1,0
Florida,21570527,707301,20863226,28,31,3
Georgia,10725274,570149,10155125,14,15,1
Hawaii,1460137,42941,1417196,2,2,0
Idaho,1841377,189489,1651888,2,2,0
Illinois,12822739,1768747,11053992,17,16,-1
Indiana,6790280,374854,6415426,9,9,0
Iowa,3192406,148097,3044309,4,5,1
Kansas,2940865,290747,2650118,4,4,0
Kentucky,4509342,105469,4403873,6,7,1
Louisiana,4661468,103872,4557596,6,7,1
Maine,1363582,7167,1356415,2,2,0
Maryland,6185278,112886,6072392,8,9,1
Massachusetts,7033469,51646,6981823,9,10,1
Michigan,10084442,381337,9703105,13,14,1
Minnesota,5709752,214435,5495317,8,8,0
Mississippi,2963914,56688,2907226,4,4,0
Missouri,6160281,187563,5972718,8,9,1
Montana,1085407,28347,1057060,2,2,0
Nebraska,1963333,159907,1803426,3,3,0
Nevada,3108462,629558,2478904,4,4,0
New Hampshire,1379089,10102,1368987,2,2,0
New Jersey,9294493,252172,9042321,12,13,1
New Mexico,2120220,671552,1448668,3,2,-1
New York,20215751,496747,19719004,26,29,3
North Carolina,10453948,563929,9890019,14,15,1
North Dakota,779702,21195,758507,1,1,0
Ohio,11808848,219916,11588932,15,17,2
Oklahoma,3963516,353908,3609608,5,5,0
Oregon,4241500,446629,3794871,6,6,0
Pennsylvania,13011844,159722,12852122,17,19,2
Rhode Island,1098163,11317,1086846,2,2,0
South Carolina,5124712,164506,4960206,7,7,0
South Dakota,887770,20450,867320,1,1,0
Tennessee,6916897,256113,6660784,9,10,1
Texas,29183290,9031289,20152001,38,30,-8
Utah,3275252,326430,2948822,4,4,0
Vermont,643503,3567,639936,1,1,0
Virginia,8654542,197511,8457031,11,13,2
Washington,7715946,783668,6932278,10,10,0
West Virginia,1795045,12539,1782506,2,3,1
Wisconsin,5897473,299955,5597518,8,8,0
Wyoming,577719,41891,535828,1,1,0
