state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,157035,4873018,7,7,0
Alaska,736081,22980,713101,1,1,0
Arizona,7158923,223497,6935426,9,9,0
Arkansas,3013756,94088,2919668,4,4,0
California,39576757,1235562,38341195,52,52,0
Colorado,5782171,180516,5601655,8,8,0
Connecticut,3608298,112649,3495649,5,5,0
Delaware,990837,30933,959904,1,1,0
Florida,21570527,673418,20897109,28,28,0
Georgia,10725274,334836,10390438,14,14,0
Hawaii,1460137,45585,1414552,2,2,0
Idaho,1841377,57487,1783890,2,2,0
Illinois,12822739,400318,12422421,17,17,0
Indiana,6790280,211988,6578292,9,9,0
Iowa,3192406,99665,3092741,4,4,0
Kansas,2940865,91812,2849053,4,4,0
Kentucky,4509342,140779,4368563,6,6,0
Louisiana,4661468,145528,4515940,6,6,0
Maine,1363582,42570,1321012,2,2,0
Maryland,6185278,193101,5992177,8,8,0
Massachusetts,7033469,219581,6813888,9,9,0
Michigan,10084442,314830,9769612,13,13,0
Minnesota,5709752,178255,5531497,8,8,0
Mississippi,2963914,92532,2871382,4,4,0
Missouri,6160281,192320,5967961,8,8,0
Montana,1085407,33886,1051521,2,2,0
Nebraska,1963333,61294,1902039,3,3,0
Nevada,3108462,97044,3011418,4,4,0
New Hampshire,1379089,43054,1336035,2,2,0
New Jersey,9294493,290168,9004325,12,12,0
New Mexico,2120220,66192,2054028,3,3,0
New York,20215751,631123,19584628,26,26,0
North Carolina,10453948,326366,10127582,14,14,0
North Dakota,779702,24342,755360,1,1,0
Ohio,11808848,368665,11440183,15,15,0
Oklahoma,3963516,123739,3839777,5,5,0
Oregon,4241500,132417,4109083,6,6,0
Pennsylvania,13011844,406222,12605622,17,17,0
Rhode Island,1098163,34284,1063879,2,2,0
South Carolina,5124712,159990,4964722,7,7,0
South Dakota,887770,27716,860054,1,1,0
Tennessee,6916897,215941,6700956,9,9,0
Texas,29183290,911084,28272206,38,38,0
Utah,3275252,102251,3173001,4,4,0
Vermont,643503,20090,623413,1,1,0
Virginia,8654542,270189,8384353,11,11,0
Washington,7715946,240887,7475059,10,10,0
West Virginia,1795045,56040,1739005,2,2,0
Wisconsin,5897473,184115,5713358,8,8,0
Wyoming,577719,18036,559683,1,1,0
