state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-193173,5223226,7,7,0
Alaska,736081,-33232,769313,1,1,0
Arizona,7158923,459553,6699370,9,9,0
Arkansas,3013756,-60465,3074221,4,4,0
California,39576757,4310406,35266351,52,46,-6
Colorado,5782171,47427,5734744,8,8,0
Connecticut,3608298,-150532,3758830,5,5,0
Delaware,990837,-29672,1020509,1,1,0
Florida,21570527,-733770,22304297,28,29,1
Georgia,10725274,-192663,10917937,14,14,0
Hawaii,1460137,-71153,1531290,2,2,0
Idaho,1841377,-14263,1855640,2,2,0
Illinois,12822739,293441,12529298,17,16,-1
Indiana,6790280,-192744,6983024,9,9,0
Iowa,3192406,-104454,3296860,4,4,0
Kansas,2940865,-24155,2965020,4,4,0
Kentucky,4509342,-196413,4705755,6,6,0
Louisiana,4661468,-209926,4871394,6,6,0
Maine,1363582,-73233,1436815,2,2,0
Maryland,6185278,-279511,6464789,8,8,0
Massachusetts,7033469,-362223,7395692,9,10,1
Michigan,10084442,-421796,10506238,13,14,1
Minnesota,5709752,-208047,5917799,8,8,0
Mississippi,2963914,-127803,3091717,4,4,0
Missouri,6160281,-268640,6428921,8,8,0
Montana,1085407,-56102,1141509,2,2,0
Nebraska,1963333,-24948,1988281,3,3,0
Nevada,3108462,196606,2911856,4,4,0
New Hampshire,1379089,-71466,1450555,2,2,0
New Jersey,9294493,-334797,9629290,12,13,1
New Mexico,2120220,97604,2022616,3,3,0
New York,20215751,-760128,20975879,26,28,2
North Carolina,10453948,-189289,10643237,14,14,0
North Dakota,779702,-37984,817686,1,1,0
Ohio,11808848,-570447,12379295,15,16,1
Oklahoma,3963516,-33292,3996808,5,5,0
Oregon,4241500,5190,4236310,6,6,0
Pennsylvania,13011844,-622053,13633897,17,18,1
Rhode Island,1098163,-54672,1152835,2,2,0
South Carolina,5124712,-173515,5298227,7,7,0
South Dakota,887770,-42381,930151,1,1,0
Tennessee,6916897,-222666,7139563,9,9,0
Texas,29183290,2443808,26739482,38,35,-3
Utah,3275252,-8113,3283365,4,4,0
Vermont,643503,-33935,677438,1,1,0
Virginia,8654542,-375447,9029989,11,12,1
Washington,7715946,-5380,7721326,10,10,0
West Virginia,1795045,-94680,1889725,2,3,1
Wisconsin,5897473,-176763,6074236,8,8,0
Wyoming,577719,-18106,595825,1,1,0
