state_name,mexico_born,kids_ratio_raw,kids_ratio_shrunk,us_born_kids,mexborn_plus_kids
Alabama,46927,0.7166037824896505,0.6425902727818106,30155,77082
Alaska,4181,0.559491748654618,0.5720735436805464,2392,6573
Arizona,510639,0.5793326023461297,0.578779040342281,295547,806186
Arkansas,60236,0.6897939405168799,0.6368764239450406,38363,98599
California,3962910,0.5478211916343957,0.5481364795644293,2172216,6135126
Colorado,215778,0.5999723506871326,0.5949217600990256,128371,344149
Connecticut,28086,0.5505010495787048,0.5649880151051179,15868,43954
Delaware,14616,0.6145000147856247,0.582484429323038,8514,23130
Florida,257933,0.6403205441961888,0.6294099060353592,162346,420279
Georgia,232197,0.6095938952999697,0.6031324052913312,140046,372243
Hawaii,5111,0.6525173202109196,0.5804884268590434,2967,8078
Idaho,51334,0.6113841364511192,0.5925067097875588,30416,81750
Illinois,623058,0.5065001777641289,0.5114496364747071,318663,941721
Indiana,101620,0.7009160311491929,0.6587743619206681,66945,168565
Iowa,41522,0.6161085438632601,0.5926262606512206,24607,66129
Kansas,81933,0.5803464521368511,0.5776099045118306,47325,129258
Kentucky,29830,0.5858341868749694,0.5778744264500948,17238,47068
Louisiana,26911,0.5509175501134541,0.5653550709278763,15214,42125
Maine,705,0.5198124474006165,0.5723843692820859,404,1109
Maryland,33833,0.7020401405153541,0.6251524547980712,21151,54984
Massachusetts,13211,0.4482184513159672,0.5470202279566211,7227,20438
Michigan,77850,0.5592015077052916,0.564647000734358,43958,121808
Minnesota,59735,0.7015377477088917,0.643027648684753,38411,98146
Mississippi,20393,0.5876060256605999,0.5773206334483165,11773,32166
Missouri,40760,0.5665084360848743,0.5701538731142597,23239,63999
Montana,1877,0.691563779447215,0.5774109313000588,1084,2961
Nebraska,47953,0.6792620009307904,0.6250848100585477,29975,77928
Nevada,221979,0.5624638415922891,0.5644238811152533,125290,347269
New Hampshire,2276,0.6422019000631594,0.576133085805618,1311,3587
New Jersey,101763,0.622175161095448,0.6060152513299474,61670,163433
New Mexico,129628,0.5553248152832236,0.5602797271280894,72628,202256
New York,209202,0.549945118626767,0.5544166340382699,115985,325187
North Carolina,220943,0.6499048911069445,0.635735996223827,140461,361404
North Dakota,2714,0.9637272061418124,0.5932359014018972,1610,4324
Ohio,44019,0.613096694823851,0.59183978853723,26052,70071
Oklahoma,105092,0.6880536444115247,0.651002084359778,68415,173507
Oregon,140613,0.6037758176688092,0.5957359189504127,83768,224381
Pennsylvania,53749,0.5309715918465154,0.5512869883968914,29631,83380
Rhode Island,3143,0.7484548347168929,0.5834950080828317,1834,4977
South Carolina,62638,0.6329512200255024,0.6063946464691148,37983,100621
South Dakota,3635,0.6864607686369653,0.5808066852433318,2111,5746
Tennessee,89257,0.6837779967955662,0.6440484451698125,57486,146743
Texas,2445193,0.5650888355405017,0.5652498811558131,1382145,3827338
Utah,98336,0.6816883166162094,0.6450948115885712,63436,161772
Vermont,711,0.3478260869565217,0.5699667925471164,405,1116
Virginia,56757,0.6556268465501299,0.6169871258903534,35018,91775
Washington,241393,0.6450799723400488,0.6327333581524337,152737,394130
West Virginia,1942,1.1326398299495126,0.5940446694157461,1154,3096
Wisconsin,86500,0.5995662660062225,0.5898810525902489,51025,137525
Wyoming,8014,0.6776092301593812,0.5875589002573175,4709,12723
