state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,168053,4862000,7,7,0
Alaska,736081,57342,678739,1,1,0
Arizona,7158923,947611,6211312,9,9,0
Arkansas,3013756,148142,2865614,4,4,0
California,39576757,10463818,29112939,52,44,-8
Colorado,5782171,539514,5242657,8,8,0
Connecticut,3608298,521384,3086914,5,5,0
Delaware,990837,91133,899704,1,1,0
Florida,21570527,4410286,17160241,28,26,-2
Georgia,10725274,1068027,9657247,14,14,0
Hawaii,1460137,259672,1200465,2,2,0
Idaho,1841377,103021,1738356,2,3,1
Illinois,12822739,1773067,11049672,17,17,0
Indiana,6790280,355838,6434442,9,10,1
Iowa,3192406,170325,3022081,4,5,1
Kansas,2940865,204029,2736836,4,4,0
Kentucky,4509342,176323,4333019,6,7,1
Louisiana,4661468,193041,4468427,6,7,1
Maine,1363582,48139,1315443,2,2,0
Maryland,6185278,916067,5269211,8,8,0
Massachusetts,7033469,1158909,5874560,9,9,0
Michigan,10084442,686647,9397795,13,14,1
Minnesota,5709752,470687,5239065,8,8,0
Mississippi,2963914,69211,2894703,4,4,0
Missouri,6160281,256336,5903945,8,9,1
Montana,1085407,23321,1062086,2,2,0
Nebraska,1963333,142616,1820717,3,3,0
Nevada,3108462,587808,2520654,4,4,0
New Hampshire,1379089,82622,1296467,2,2,0
New Jersey,9294493,2012872,7281621,12,11,-1
New Mexico,2120220,193223,1926997,3,3,0
New York,20215751,4372167,15843584,26,24,-2
North Carolina,10453948,832602,9621346,14,14,0
North Dakota,779702,32389,747313,1,1,0
Ohio,11808848,542704,11266144,15,17,2
Oklahoma,3963516,237812,3725704,5,6,1
Oregon,4241500,409867,3831633,6,6,0
Pennsylvania,13011844,896853,12114991,17,18,1
Rhode Island,1098163,148305,949858,2,2,0
South Carolina,5124712,263203,4861509,7,7,0
South Dakota,887770,34911,852859,1,1,0
Tennessee,6916897,347386,6569511,9,10,1
Texas,29183290,4822952,24360338,38,37,-1
Utah,3275252,264538,3010714,4,5,1
Vermont,643503,28468,615035,1,1,0
Virginia,8654542,1068489,7586053,11,11,0
Washington,7715946,1089660,6626286,10,10,0
West Virginia,1795045,29584,1765461,2,3,1
Wisconsin,5897473,291187,5606286,8,8,0
Wyoming,577719,19274,558445,1,1,0
