state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,181917,4621065,7,7,0
Alaska,721523,27328,694195,1,1,0
Arizona,6412700,242887,6169813,9,9,0
Arkansas,2926229,110834,2815395,4,4,0
California,37341989,1414361,35927628,53,53,0
Colorado,5044930,191081,4853849,7,7,0
Connecticut,3581628,135657,3445971,5,5,0
Delaware,900877,34122,866755,1,1,0
Florida,18900773,715884,18184889,27,27,0
Georgia,9727566,368440,9359126,14,14,0
Hawaii,1366862,51771,1315091,2,2,0
Idaho,1573499,59598,1513901,2,2,0
Illinois,12864380,487250,12377130,18,18,0
Indiana,6501582,246253,6255329,9,9,0
Iowa,3053787,115665,2938122,4,4,0
Kansas,2863813,108469,2755344,4,4,0
Kentucky,4350606,164783,4185823,6,6,0
Louisiana,4553962,172485,4381477,6,6,0
Maine,1333074,50491,1282583,2,2,0
Maryland,5789929,219299,5570630,8,8,0
Massachusetts,6559644,248452,6311192,9,9,0
Michigan,9911626,375412,9536214,14,14,0
Minnesota,5314879,201306,5113573,8,8,0
Mississippi,2978240,112804,2865436,4,4,0
Missouri,6011478,227690,5783788,8,8,0
Montana,994416,37664,956752,1,1,0
Nebraska,1831825,69382,1762443,3,3,0
Nevada,2709432,102622,2606810,4,4,0
New Hampshire,1321445,50051,1271394,2,2,0
New Jersey,8807501,333592,8473909,12,12,0
New Mexico,2067273,78300,1988973,3,3,0
New York,19421055,735590,18685465,27,27,0
North Carolina,9565781,362313,9203468,13,13,0
North Dakota,675905,25601,650304,1,1,0
Ohio,11568495,438167,11130328,16,16,0
Oklahoma,3764882,142598,3622284,5,5,0
Oregon,3848606,145769,3702837,5,5,0
Pennsylvania,12734905,482346,12252559,18,18,0
Rhode Island,1055247,39968,1015279,2,2,0
South Carolina,4645975,175970,4470005,7,7,0
South Dakota,819761,31049,788712,1,1,0
Tennessee,6375431,241475,6133956,9,9,0
Texas,25268418,957064,24311354,36,36,0
Utah,2770765,104945,2665820,4,4,0
Vermont,630337,23875,606462,1,1,0
Virginia,8037736,304436,7733300,11,11,0
Washington,6753369,255790,6497579,10,10,0
West Virginia,1859815,70442,1789373,3,3,0
Wisconsin,5698230,215826,5482404,8,8,0
Wyoming,568300,21525,546775,1,1,0
