vic_band,hispanic,nh_white,nh_black,nh_other,unknown
0-4,292,442,627,56,620
10-14,190,170,443,29,274
15-19,1965,866,4783,117,2326
20-24,2250,1395,6855,213,3290
25-29,2111,1504,6582,207,3277
30-34,1945,1780,5496,256,3087
35-39,1661,1749,3812,233,2169
40-44,1200,1581,2824,156,1899
45-49,820,1311,1838,116,1372
5-9,89,174,256,39,201
50-54,597,1179,1348,124,1162
55-59,418,1219,1142,89,1051
60-64,258,1058,777,95,821
65-69,177,745,447,74,519
70-74,92,519,226,39,349
75-79,58,376,93,27,201
80-84,29,246,43,10,128
85+,19,217,42,10,141
unknown,81,91,201,11,432
