off_band,hispanic,nh_white,nh_black,nh_other,unknown
0-4,1,0,1,0,4
10-14,73,40,180,13,164
15-19,1460,726,3269,99,2583
20-24,1665,1284,4569,181,3604
25-29,1343,1254,3890,227,3283
30-34,1056,1323,3001,156,2696
35-39,818,1252,1954,124,2033
40-44,527,1013,1489,106,1633
45-49,371,721,781,63,1069
5-9,0,2,5,0,14
50-54,234,633,604,51,861
55-59,120,560,443,43,694
60-64,73,428,283,19,413
65-69,43,237,125,17,258
70-74,26,164,51,18,139
75-79,5,130,32,7,104
80-84,6,98,7,3,62
85+,8,75,14,3,62
unknown,217,47,957,10,1822
