,band,hispanic,nh_white,nh_black
raw,15-19,0.1262,0.0609,0.125
raw,20-24,0.1851,0.1196,0.2037
raw,25-29,0.1726,0.1267,0.1901
raw,30-34,0.1409,0.1327,0.1543
raw,35-39,0.1157,0.1236,0.106
raw,40-44,0.0839,0.1024,0.0797
raw,45-49,0.0582,0.0772,0.0436
raw,50-54,0.0426,0.0683,0.0394
raw,55-59,0.0287,0.0622,0.0263
raw,60-64,0.017,0.0446,0.017
raw,65+,0.0291,0.082,0.0147
rate_per_100k,15-19,3.327,1.3841,16.5284
rate_per_100k,20-24,5.2239,2.6067,28.8092
rate_per_100k,25-29,5.1158,2.7339,26.4765
rate_per_100k,30-34,4.2383,2.6286,18.4284
rate_per_100k,35-39,3.6795,2.4469,13.916
rate_per_100k,40-44,2.7576,2.0554,11.5276
rate_per_100k,45-49,2.0895,1.7042,6.9129
rate_per_100k,50-54,1.7044,1.4521,6.5325
rate_per_100k,55-59,1.3586,1.217,4.6824
rate_per_100k,60-64,0.8987,0.7823,2.6905
rate_per_100k,65+,0.7413,0.4499,0.9902
standardised,15-19,0.1036,0.0694,0.1198
standardised,20-24,0.1612,0.1296,0.2069
standardised,25-29,0.1569,0.135,0.189
standardised,30-34,0.1393,0.1391,0.1409
standardised,35-39,0.1174,0.1257,0.1033
standardised,40-44,0.0852,0.1023,0.0829
standardised,45-49,0.0589,0.0773,0.0453
standardised,50-54,0.0475,0.0652,0.0424
standardised,55-59,0.0382,0.0551,0.0306
standardised,60-64,0.0271,0.038,0.0189
standardised,65+,0.0647,0.0633,0.0201
