off_eth,life_share,complete,partial
hispanic,0.0,509870.0,1004647.0
hispanic,0.231,987595.0,1547846.0
hispanic,1.0,2278423.0,3057702.0
nh_black,0.0,734603.0,1219341.0
nh_black,0.231,1265071.0,1811389.0
nh_black,1.0,2612233.0,3365425.0
nh_other,0.0,716351.0,1186229.0
nh_other,0.231,1195435.0,1721327.0
nh_other,1.0,2399084.0,3113773.0
nh_white,0.0,731233.0,1137471.0
nh_white,0.231,1155063.0,1607318.0
nh_white,1.0,2198831.0,2805562.0
