vic_eth,off_eth,n,universe
hispanic,hispanic,5975,svso_cleared
nh_white,hispanic,1263,svso_cleared
nh_black,hispanic,865,svso_cleared
nh_other,hispanic,141,svso_cleared
unknown,hispanic,568,svso_cleared
hispanic,nh_white,878,svso_cleared
nh_white,nh_white,9013,svso_cleared
nh_black,nh_white,932,svso_cleared
nh_other,nh_white,196,svso_cleared
unknown,nh_white,818,svso_cleared
hispanic,nh_black,1311,svso_cleared
nh_white,nh_black,2323,svso_cleared
nh_black,nh_black,16658,svso_cleared
nh_other,nh_black,250,svso_cleared
unknown,nh_black,1226,svso_cleared
hispanic,nh_other,91,svso_cleared
nh_white,nh_other,200,svso_cleared
nh_black,nh_other,112,svso_cleared
nh_other,nh_other,836,svso_cleared
unknown,nh_other,81,svso_cleared
hispanic,unknown,1201,svso_cleared
nh_white,unknown,3228,svso_cleared
nh_black,unknown,3305,svso_cleared
nh_other,unknown,196,svso_cleared
unknown,unknown,20508,svso_cleared
hispanic,hispanic,8610,all_cleared
nh_white,hispanic,1791,all_cleared
nh_black,hispanic,1278,all_cleared
nh_other,hispanic,215,all_cleared
unknown,hispanic,852,all_cleared
hispanic,nh_white,1237,all_cleared
nh_white,nh_white,11964,all_cleared
nh_black,nh_white,1325,all_cleared
nh_other,nh_white,281,all_cleared
unknown,nh_white,1205,all_cleared
hispanic,nh_black,2087,all_cleared
nh_white,nh_black,3492,all_cleared
nh_black,nh_black,24035,all_cleared
nh_other,nh_black,377,all_cleared
unknown,nh_black,1962,all_cleared
hispanic,nh_other,137,all_cleared
nh_white,nh_other,268,all_cleared
nh_black,nh_other,156,all_cleared
nh_other,nh_other,1092,all_cleared
unknown,nh_other,125,all_cleared
hispanic,unknown,2033,all_cleared
nh_white,unknown,4678,all_cleared
nh_black,unknown,5581,all_cleared
nh_other,unknown,301,all_cleared
unknown,unknown,29714,all_cleared
