age,hispanic_origin,sex,deaths
23 years,Hispanic or Latino,Male,519.0
23 years,Not Hispanic or Latino,Female,423.0
23 years,Not Hispanic or Latino,Male,2377.0
23 years,Not Stated,Female,0.0
23 years,Not Stated,Male,
24 years,Hispanic or Latino,Female,110.0
24 years,Hispanic or Latino,Male,543.0
24 years,Not Hispanic or Latino,Female,417.0
24 years,Not Hispanic or Latino,Male,2289.0
24 years,Not Stated,Female,0.0
24 years,Not Stated,Male,
25 years,Hispanic or Latino,Female,62.0
25 years,Hispanic or Latino,Male,496.0
25 years,Not Hispanic or Latino,Female,455.0
25 years,Not Hispanic or Latino,Male,2298.0
25 years,Not Stated,Female,
25 years,Not Stated,Male,
26 years,Hispanic or Latino,Female,87.0
26 years,Hispanic or Latino,Male,480.0
26 years,Not Hispanic or Latino,Female,401.0
26 years,Not Hispanic or Latino,Male,2341.0
26 years,Not Stated,Female,
26 years,Not Stated,Male,
27 years,Hispanic or Latino,Female,81.0
27 years,Hispanic or Latino,Male,540.0
27 years,Not Hispanic or Latino,Female,442.0
27 years,Not Hispanic or Latino,Male,2355.0
27 years,Not Stated,Female,0.0
27 years,Not Stated,Male,
28 years,Hispanic or Latino,Female,92.0
28 years,Hispanic or Latino,Male,514.0
28 years,Not Hispanic or Latino,Female,395.0
28 years,Not Hispanic or Latino,Male,2391.0
28 years,Not Stated,Female,
28 years,Not Stated,Male,
29 years,Hispanic or Latino,Female,90.0
29 years,Hispanic or Latino,Male,516.0
29 years,Not Hispanic or Latino,Female,416.0
29 years,Not Hispanic or Latino,Male,2422.0
29 years,Not Stated,Female,
29 years,Not Stated,Male,
30 years,Hispanic or Latino,Female,95.0
30 years,Hispanic or Latino,Male,550.0
30 years,Not Hispanic or Latino,Female,470.0
30 years,Not Hispanic or Latino,Male,2397.0
30 years,Not Stated,Female,0.0
30 years,Not Stated,Male,
31 years,Hispanic or Latino,Female,81.0
31 years,Hispanic or Latino,Male,466.0
31 years,Not Hispanic or Latino,Female,425.0
31 years,Not Hispanic or Latino,Male,2356.0
31 years,Not Stated,Female,0.0
31 years,Not Stated,Male,
32 years,Hispanic or Latino,Female,85.0
32 years,Hispanic or Latino,Male,451.0
32 years,Not Hispanic or Latino,Female,366.0
32 years,Not Hispanic or Latino,Male,2107.0
32 years,Not Stated,Female,
32 years,Not Stated,Male,
33 years,Hispanic or Latino,Female,95.0
33 years,Hispanic or Latino,Male,438.0
33 years,Not Hispanic or Latino,Female,432.0
33 years,Not Hispanic or Latino,Male,2010.0
33 years,Not Stated,Female,0.0
33 years,Not Stated,Male,
34 years,Hispanic or Latino,Female,86.0
34 years,Hispanic or Latino,Male,427.0
34 years,Not Hispanic or Latino,Female,416.0
34 years,Not Hispanic or Latino,Male,1901.0
34 years,Not Stated,Female,0.0
34 years,Not Stated,Male,
35 years,Hispanic or Latino,Female,80.0
35 years,Hispanic or Latino,Male,390.0
35 years,Not Hispanic or Latino,Female,369.0
35 years,Not Hispanic or Latino,Male,1718.0
35 years,Not Stated,Female,0.0
35 years,Not Stated,Male,
36 years,Hispanic or Latino,Female,80.0
36 years,Hispanic or Latino,Male,391.0
36 years,Not Hispanic or Latino,Female,366.0
36 years,Not Hispanic or Latino,Male,1698.0
36 years,Not Stated,Female,0.0
36 years,Not Stated,Male,
37 years,Hispanic or Latino,Female,93.0
37 years,Hispanic or Latino,Male,362.0
37 years,Not Hispanic or Latino,Female,407.0
37 years,Not Hispanic or Latino,Male,1621.0
37 years,Not Stated,Female,
37 years,Not Stated,Male,0.0
38 years,Hispanic or Latino,Female,70.0
38 years,Hispanic or Latino,Male,370.0
38 years,Not Hispanic or Latino,Female,351.0
38 years,Not Hispanic or Latino,Male,1562.0
38 years,Not Stated,Female,0.0
38 years,Not Stated,Male,
39 years,Hispanic or Latino,Female,61.0
39 years,Hispanic or Latino,Male,376.0
39 years,Not Hispanic or Latino,Female,359.0
39 years,Not Hispanic or Latino,Male,1538.0
39 years,Not Stated,Female,
39 years,Not Stated,Male,
40 years,Hispanic or Latino,Female,63.0
40 years,Hispanic or Latino,Male,322.0
40 years,Not Hispanic or Latino,Female,360.0
40 years,Not Hispanic or Latino,Male,1405.0
40 years,Not Stated,Female,0.0
40 years,Not Stated,Male,
41 years,Hispanic or Latino,Female,64.0
41 years,Hispanic or Latino,Male,311.0
41 years,Not Hispanic or Latino,Female,347.0
41 years,Not Hispanic or Latino,Male,1415.0
41 years,Not Stated,Female,0.0
41 years,Not Stated,Male,
42 years,Hispanic or Latino,Female,46.0
42 years,Hispanic or Latino,Male,272.0
42 years,Not Hispanic or Latino,Female,324.0
42 years,Not Hispanic or Latino,Male,1327.0
42 years,Not Stated,Female,0.0
42 years,Not Stated,Male,
43 years,Hispanic or Latino,Female,67.0
43 years,Hispanic or Latino,Male,276.0
43 years,Not Hispanic or Latino,Female,302.0
43 years,Not Hispanic or Latino,Male,1219.0
43 years,Not Stated,Female,0.0
43 years,Not Stated,Male,
44 years,Hispanic or Latino,Female,58.0
44 years,Hispanic or Latino,Male,229.0
44 years,Not Hispanic or Latino,Female,273.0
44 years,Not Hispanic or Latino,Male,1065.0
44 years,Not Stated,Female,0.0
44 years,Not Stated,Male,
45 years,Hispanic or Latino,Female,61.0
45 years,Hispanic or Latino,Male,219.0
45 years,Not Hispanic or Latino,Female,269.0
45 years,Not Hispanic or Latino,Male,939.0
45 years,Not Stated,Female,0.0
45 years,Not Stated,Male,
46 years,Hispanic or Latino,Female,48.0
46 years,Hispanic or Latino,Male,216.0
46 years,Not Hispanic or Latino,Female,231.0
46 years,Not Hispanic or Latino,Male,972.0
46 years,Not Stated,Female,0.0
46 years,Not Stated,Male,
47 years,Hispanic or Latino,Female,46.0
47 years,Hispanic or Latino,Male,187.0
47 years,Not Hispanic or Latino,Female,251.0
47 years,Not Hispanic or Latino,Male,865.0
47 years,Not Stated,Female,
47 years,Not Stated,Male,
48 years,Hispanic or Latino,Female,48.0
48 years,Hispanic or Latino,Male,183.0
48 years,Not Hispanic or Latino,Female,247.0
48 years,Not Hispanic or Latino,Male,906.0
48 years,Not Stated,Female,
48 years,Not Stated,Male,
49 years,Hispanic or Latino,Female,46.0
49 years,Hispanic or Latino,Male,165.0
49 years,Not Hispanic or Latino,Female,244.0
49 years,Not Hispanic or Latino,Male,854.0
49 years,Not Stated,Female,0.0
49 years,Not Stated,Male,0.0
50 years,Hispanic or Latino,Female,46.0
