window,off_eth,n,intra_share,vic_hispanic,vic_nh_white,vic_nh_black,vic_nh_other
2015_2023,hispanic,8244,0.7248,0.7248,0.1532,0.1049,0.0171
2015_2023,nh_white,11019,0.818,0.0797,0.818,0.0846,0.0178
2015_2023,nh_black,20542,0.8109,0.0638,0.1131,0.8109,0.0122
2019_2023,hispanic,4881,0.7173,0.7173,0.1563,0.1102,0.0162
2019_2023,nh_white,6657,0.8089,0.0811,0.8089,0.0924,0.0176
2019_2023,nh_black,13381,0.8127,0.0638,0.112,0.8127,0.0114
