year,hispanic_origin,race,deaths
2018,Hispanic or Latino,American Indian or Alaska Native,25.0
2018,Hispanic or Latino,Asian,
2018,Hispanic or Latino,Black or African American,109.0
2018,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2018,Hispanic or Latino,White,2846.0
2018,Hispanic or Latino,More than one race,51.0
2018,Hispanic or Latino,Not Available,0.0
2018,Not Hispanic or Latino,American Indian or Alaska Native,275.0
2018,Not Hispanic or Latino,Asian,263.0
2018,Not Hispanic or Latino,Black or African American,9469.0
2018,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,42.0
2018,Not Hispanic or Latino,White,5460.0
2018,Not Hispanic or Latino,More than one race,215.0
2018,Not Hispanic or Latino,Not Available,0.0
2018,Not Stated,American Indian or Alaska Native,
2018,Not Stated,Asian,0.0
2018,Not Stated,Black or African American,30.0
2018,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2018,Not Stated,White,29.0
2018,Not Stated,More than one race,
2018,Not Stated,Not Available,0.0
2019,Hispanic or Latino,American Indian or Alaska Native,22.0
2019,Hispanic or Latino,Asian,
2019,Hispanic or Latino,Black or African American,122.0
2019,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2019,Hispanic or Latino,White,2900.0
2019,Hispanic or Latino,More than one race,61.0
2019,Hispanic or Latino,Not Available,0.0
2019,Not Hispanic or Latino,American Indian or Alaska Native,292.0
2019,Not Hispanic or Latino,Asian,292.0
2019,Not Hispanic or Latino,Black or African American,9951.0
2019,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,39.0
2019,Not Hispanic or Latino,White,5176.0
2019,Not Hispanic or Latino,More than one race,229.0
2019,Not Hispanic or Latino,Not Available,0.0
2019,Not Stated,American Indian or Alaska Native,
2019,Not Stated,Asian,
2019,Not Stated,Black or African American,17.0
2019,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2019,Not Stated,White,20.0
2019,Not Stated,More than one race,0.0
2019,Not Stated,Not Available,0.0
2020,Hispanic or Latino,American Indian or Alaska Native,28.0
2020,Hispanic or Latino,Asian,13.0
2020,Hispanic or Latino,Black or African American,139.0
2020,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2020,Hispanic or Latino,White,3649.0
2020,Hispanic or Latino,More than one race,84.0
2020,Hispanic or Latino,Not Available,0.0
2020,Not Hispanic or Latino,American Indian or Alaska Native,344.0
2020,Not Hispanic or Latino,Asian,289.0
2020,Not Hispanic or Latino,Black or African American,13493.0
2020,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,49.0
2020,Not Hispanic or Latino,White,6143.0
2020,Not Hispanic or Latino,More than one race,287.0
2020,Not Hispanic or Latino,Not Available,0.0
2020,Not Stated,American Indian or Alaska Native,0.0
2020,Not Stated,Asian,
2020,Not Stated,Black or African American,22.0
2020,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2020,Not Stated,White,26.0
2020,Not Stated,More than one race,
2020,Not Stated,Not Available,0.0
2021,Hispanic or Latino,American Indian or Alaska Native,48.0
2021,Hispanic or Latino,Asian,13.0
2021,Hispanic or Latino,Black or African American,216.0
2021,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2021,Hispanic or Latino,White,4089.0
2021,Hispanic or Latino,More than one race,78.0
2021,Hispanic or Latino,Not Available,0.0
2021,Not Hispanic or Latino,American Indian or Alaska Native,307.0
2021,Not Hispanic or Latino,Asian,313.0
2021,Not Hispanic or Latino,Black or African American,14313.0
2021,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,46.0
2021,Not Hispanic or Latino,White,6215.0
2021,Not Hispanic or Latino,More than one race,327.0
2021,Not Hispanic or Latino,Not Available,0.0
2021,Not Stated,American Indian or Alaska Native,
2021,Not Stated,Asian,
2021,Not Stated,Black or African American,25.0
2021,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2021,Not Stated,White,29.0
2021,Not Stated,More than one race,
2021,Not Stated,Not Available,0.0
2022,Hispanic or Latino,American Indian or Alaska Native,48.0
2022,Hispanic or Latino,Asian,10.0
2022,Hispanic or Latino,Black or African American,192.0
2022,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2022,Hispanic or Latino,White,4149.0
2022,Hispanic or Latino,More than one race,77.0
2022,Hispanic or Latino,Not Available,0.0
2022,Not Hispanic or Latino,American Indian or Alaska Native,386.0
2022,Not Hispanic or Latino,Asian,310.0
2022,Not Hispanic or Latino,Black or African American,13236.0
2022,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,52.0
2022,Not Hispanic or Latino,White,5980.0
2022,Not Hispanic or Latino,More than one race,353.0
2022,Not Hispanic or Latino,Not Available,0.0
2022,Not Stated,American Indian or Alaska Native,
2022,Not Stated,Asian,
2022,Not Stated,Black or African American,18.0
2022,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2022,Not Stated,White,29.0
2022,Not Stated,More than one race,0.0
2022,Not Stated,Not Available,0.0
2023,Hispanic or Latino,American Indian or Alaska Native,61.0
2023,Hispanic or Latino,Asian,11.0
2023,Hispanic or Latino,Black or African American,243.0
2023,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2023,Hispanic or Latino,White,3893.0
2023,Hispanic or Latino,More than one race,71.0
2023,Hispanic or Latino,Not Available,0.0
2023,Not Hispanic or Latino,American Indian or Alaska Native,329.0
2023,Not Hispanic or Latino,Asian,331.0
2023,Not Hispanic or Latino,Black or African American,12009.0
2023,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,43.0
2023,Not Hispanic or Latino,White,5447.0
2023,Not Hispanic or Latino,More than one race,322.0
2023,Not Hispanic or Latino,Not Available,0.0
2023,Not Stated,American Indian or Alaska Native,
2023,Not Stated,Asian,0.0
