off_eth,vic_eth,rel,n
hispanic,hispanic,acquaintance,2105
hispanic,hispanic,family,871
hispanic,hispanic,intimate,1032
hispanic,hispanic,stranger,1074
hispanic,hispanic,unknown,893
hispanic,nh_black,acquaintance,309
hispanic,nh_black,family,32
hispanic,nh_black,intimate,48
hispanic,nh_black,stranger,225
hispanic,nh_black,unknown,251
hispanic,nh_other,acquaintance,40
hispanic,nh_other,family,5
hispanic,nh_other,intimate,23
hispanic,nh_other,stranger,50
hispanic,nh_other,unknown,23
hispanic,nh_white,acquaintance,484
hispanic,nh_white,family,61
hispanic,nh_white,intimate,197
hispanic,nh_white,stranger,328
hispanic,nh_white,unknown,193
hispanic,unknown,acquaintance,161
hispanic,unknown,family,43
hispanic,unknown,intimate,81
hispanic,unknown,stranger,98
hispanic,unknown,unknown,185
nh_black,hispanic,acquaintance,362
nh_black,hispanic,family,24
nh_black,hispanic,intimate,128
nh_black,hispanic,stranger,419
nh_black,hispanic,unknown,378
nh_black,nh_black,acquaintance,6062
nh_black,nh_black,family,1725
nh_black,nh_black,intimate,2052
nh_black,nh_black,stranger,2191
nh_black,nh_black,unknown,4628
nh_black,nh_other,acquaintance,58
nh_black,nh_other,family,11
nh_black,nh_other,intimate,25
nh_black,nh_other,stranger,110
nh_black,nh_other,unknown,46
nh_black,nh_white,acquaintance,813
nh_black,nh_white,family,56
nh_black,nh_white,intimate,344
nh_black,nh_white,stranger,552
nh_black,nh_white,unknown,558
nh_black,unknown,acquaintance,360
nh_black,unknown,family,95
nh_black,unknown,intimate,134
nh_black,unknown,stranger,150
nh_black,unknown,unknown,487
nh_other,hispanic,acquaintance,35
nh_other,hispanic,family,4
nh_other,hispanic,intimate,9
nh_other,hispanic,stranger,29
nh_other,hispanic,unknown,14
nh_other,nh_black,acquaintance,46
nh_other,nh_black,family,8
nh_other,nh_black,intimate,11
nh_other,nh_black,stranger,29
nh_other,nh_black,unknown,18
nh_other,nh_other,acquaintance,231
nh_other,nh_other,family,236
nh_other,nh_other,intimate,214
nh_other,nh_other,stranger,41
nh_other,nh_other,unknown,114
nh_other,nh_white,acquaintance,81
nh_other,nh_white,family,17
nh_other,nh_white,intimate,39
nh_other,nh_white,stranger,42
nh_other,nh_white,unknown,21
nh_other,unknown,acquaintance,27
nh_other,unknown,family,13
nh_other,unknown,intimate,14
nh_other,unknown,stranger,11
nh_other,unknown,unknown,16
nh_white,hispanic,acquaintance,324
nh_white,hispanic,family,74
nh_white,hispanic,intimate,149
nh_white,hispanic,stranger,201
nh_white,hispanic,unknown,130
nh_white,nh_black,acquaintance,391
nh_white,nh_black,family,37
nh_white,nh_black,intimate,112
nh_white,nh_black,stranger,193
nh_white,nh_black,unknown,199
nh_white,nh_other,acquaintance,69
nh_white,nh_other,family,17
nh_white,nh_other,intimate,58
nh_white,nh_other,stranger,33
nh_white,nh_other,unknown,19
nh_white,nh_white,acquaintance,3074
nh_white,nh_white,family,2026
nh_white,nh_white,intimate,2514
nh_white,nh_white,stranger,640
nh_white,nh_white,unknown,759
nh_white,unknown,acquaintance,265
nh_white,unknown,family,141
nh_white,unknown,intimate,204
nh_white,unknown,stranger,71
nh_white,unknown,unknown,137
unknown,hispanic,acquaintance,344
unknown,hispanic,family,124
unknown,hispanic,intimate,153
unknown,hispanic,stranger,155
unknown,hispanic,unknown,425
unknown,nh_black,acquaintance,965
unknown,nh_black,family,284
unknown,nh_black,intimate,292
unknown,nh_black,stranger,367
unknown,nh_black,unknown,1397
unknown,nh_other,acquaintance,46
unknown,nh_other,family,35
unknown,nh_other,intimate,48
unknown,nh_other,stranger,27
unknown,nh_other,unknown,40
unknown,nh_white,acquaintance,1127
unknown,nh_white,family,554
unknown,nh_white,intimate,721
unknown,nh_white,stranger,330
unknown,nh_white,unknown,496
unknown,unknown,acquaintance,5519
unknown,unknown,family,2627
unknown,unknown,intimate,3103
unknown,unknown,stranger,1499
unknown,unknown,unknown,7760
