off_band,hispanic,nh_white,nh_black,nh_other,unknown
0-4,1,2,2,0,113
10-14,99,70,252,15,271
15-19,2170,1154,4792,159,4890
20-24,2706,2025,6880,297,7664
25-29,2186,2098,5806,324,6624
30-34,1697,2118,4262,251,5216
35-39,1286,1967,2878,192,3933
40-44,830,1519,2067,158,2929
45-49,583,1197,1191,105,2144
5-9,0,2,5,0,24
50-54,394,1081,914,87,1785
55-59,204,870,677,68,1403
60-64,119,704,416,33,833
65-69,70,398,173,25,485
70-74,32,266,70,27,278
75-79,15,202,42,11,207
80-84,11,143,11,7,125
85+,9,120,21,4,116
unknown,334,76,1494,15,3267
