vic_eth,VicSex,vic_age_n,n
hispanic,Female,0.0,49
hispanic,Female,1.0,25
hispanic,Female,2.0,22
hispanic,Female,3.0,14
hispanic,Female,4.0,14
hispanic,Female,5.0,6
hispanic,Female,6.0,8
hispanic,Female,7.0,2
hispanic,Female,8.0,11
hispanic,Female,9.0,6
hispanic,Female,10.0,16
hispanic,Female,11.0,13
hispanic,Female,12.0,9
hispanic,Female,13.0,15
hispanic,Female,14.0,13
hispanic,Female,15.0,26
hispanic,Female,16.0,41
hispanic,Female,17.0,48
hispanic,Female,18.0,71
hispanic,Female,19.0,90
hispanic,Female,20.0,74
hispanic,Female,21.0,72
hispanic,Female,22.0,70
hispanic,Female,23.0,71
hispanic,Female,24.0,75
hispanic,Female,25.0,47
hispanic,Female,26.0,68
hispanic,Female,27.0,56
hispanic,Female,28.0,71
hispanic,Female,29.0,62
hispanic,Female,30.0,77
hispanic,Female,31.0,58
hispanic,Female,32.0,64
hispanic,Female,33.0,69
hispanic,Female,34.0,56
hispanic,Female,35.0,65
hispanic,Female,36.0,56
hispanic,Female,37.0,78
hispanic,Female,38.0,51
hispanic,Female,39.0,45
hispanic,Female,40.0,41
hispanic,Female,41.0,46
hispanic,Female,42.0,33
hispanic,Female,43.0,52
hispanic,Female,44.0,46
hispanic,Female,45.0,35
hispanic,Female,46.0,34
hispanic,Female,47.0,34
hispanic,Female,48.0,32
hispanic,Female,49.0,31
hispanic,Female,50.0,34
hispanic,Female,51.0,27
hispanic,Female,52.0,16
hispanic,Female,53.0,15
hispanic,Female,54.0,15
hispanic,Female,55.0,14
hispanic,Female,56.0,28
hispanic,Female,57.0,16
hispanic,Female,58.0,20
hispanic,Female,59.0,19
hispanic,Female,60.0,11
hispanic,Female,61.0,17
hispanic,Female,62.0,8
hispanic,Female,63.0,12
hispanic,Female,64.0,10
hispanic,Female,65.0,10
hispanic,Female,66.0,12
hispanic,Female,67.0,5
hispanic,Female,68.0,11
hispanic,Female,69.0,10
hispanic,Female,70.0,6
hispanic,Female,71.0,9
hispanic,Female,72.0,6
hispanic,Female,73.0,3
hispanic,Female,74.0,7
hispanic,Female,75.0,1
hispanic,Female,76.0,1
hispanic,Female,77.0,2
hispanic,Female,78.0,7
hispanic,Female,79.0,3
hispanic,Female,80.0,1
hispanic,Female,81.0,1
hispanic,Female,82.0,3
hispanic,Female,84.0,2
hispanic,Female,85.0,3
hispanic,Female,86.0,1
hispanic,Female,87.0,1
hispanic,Female,89.0,1
hispanic,Female,90.0,1
hispanic,Female,91.0,1
hispanic,Female,92.0,1
hispanic,Female,95.0,1
hispanic,Female,97.0,1
hispanic,Female,99.0,1
hispanic,Male,0.0,68
hispanic,Male,1.0,32
hispanic,Male,2.0,33
hispanic,Male,3.0,20
hispanic,Male,4.0,15
hispanic,Male,5.0,16
hispanic,Male,6.0,8
hispanic,Male,7.0,11
hispanic,Male,8.0,10
hispanic,Male,9.0,11
hispanic,Male,10.0,11
hispanic,Male,11.0,20
hispanic,Male,12.0,13
hispanic,Male,13.0,17
hispanic,Male,14.0,63
hispanic,Male,15.0,165
hispanic,Male,16.0,232
hispanic,Male,17.0,340
hispanic,Male,18.0,463
hispanic,Male,19.0,486
hispanic,Male,20.0,386
hispanic,Male,21.0,394
hispanic,Male,22.0,386
hispanic,Male,23.0,350
hispanic,Male,24.0,372
hispanic,Male,25.0,334
hispanic,Male,26.0,364
hispanic,Male,27.0,380
hispanic,Male,28.0,366
hispanic,Male,29.0,362
hispanic,Male,30.0,412
hispanic,Male,31.0,349
hispanic,Male,32.0,289
hispanic,Male,33.0,285
hispanic,Male,34.0,286
hispanic,Male,35.0,310
hispanic,Male,36.0,271
hispanic,Male,37.0,260
hispanic,Male,38.0,263
hispanic,Male,39.0,262
hispanic,Male,40.0,239
hispanic,Male,41.0,203
hispanic,Male,42.0,204
hispanic,Male,43.0,181
hispanic,Male,44.0,154
hispanic,Male,45.0,145
hispanic,Male,46.0,151
hispanic,Male,47.0,116
hispanic,Male,48.0,125
hispanic,Male,49.0,117
hispanic,Male,50.0,107
hispanic,Male,51.0,112
hispanic,Male,52.0,113
hispanic,Male,53.0,75
hispanic,Male,54.0,81
hispanic,Male,55.0,80
hispanic,Male,56.0,55
hispanic,Male,57.0,58
hispanic,Male,58.0,70
hispanic,Male,59.0,58
hispanic,Male,60.0,46
hispanic,Male,61.0,35
hispanic,Male,62.0,46
hispanic,Male,63.0,41
hispanic,Male,64.0,32
hispanic,Male,65.0,23
hispanic,Male,66.0,31
hispanic,Male,67.0,28
hispanic,Male,68.0,18
hispanic,Male,69.0,29
hispanic,Male,70.0,18
hispanic,Male,71.0,11
hispanic,Male,72.0,12
hispanic,Male,73.0,14
hispanic,Male,74.0,6
hispanic,Male,75.0,11
hispanic,Male,76.0,12
hispanic,Male,77.0,5
hispanic,Male,78.0,9
hispanic,Male,79.0,7
hispanic,Male,80.0,6
hispanic,Male,81.0,5
hispanic,Male,82.0,4
hispanic,Male,83.0,3
hispanic,Male,84.0,4
hispanic,Male,85.0,2
hispanic,Male,86.0,1
hispanic,Male,88.0,1
hispanic,Male,89.0,1
hispanic,Male,92.0,1
hispanic,Male,94.0,1
hispanic,Unknown,15.0,1
hispanic,Unknown,16.0,1
hispanic,Unknown,19.0,1
hispanic,Unknown,29.0,1
hispanic,Unknown,40.0,1
hispanic,Unknown,50.0,1
hispanic,Unknown,51.0,1
nh_black,Female,0.0,90
nh_black,Female,1.0,58
nh_black,Female,2.0,43
nh_black,Female,3.0,30
nh_black,Female,4.0,30
nh_black,Female,5.0,25
nh_black,Female,6.0,16
nh_black,Female,7.0,31
nh_black,Female,8.0,24
nh_black,Female,9.0,27
nh_black,Female,10.0,14
nh_black,Female,11.0,16
nh_black,Female,12.0,16
nh_black,Female,13.0,27
nh_black,Female,14.0,33
nh_black,Female,15.0,57
nh_black,Female,16.0,85
nh_black,Female,17.0,98
nh_black,Female,18.0,158
nh_black,Female,19.0,169
nh_black,Female,20.0,167
nh_black,Female,21.0,197
nh_black,Female,22.0,151
nh_black,Female,23.0,186
nh_black,Female,24.0,167
nh_black,Female,25.0,197
nh_black,Female,26.0,177
nh_black,Female,27.0,155
nh_black,Female,28.0,150
nh_black,Female,29.0,154
nh_black,Female,30.0,153
nh_black,Female,31.0,141
nh_black,Female,32.0,138
nh_black,Female,33.0,121
nh_black,Female,34.0,128
nh_black,Female,35.0,111
nh_black,Female,36.0,125
nh_black,Female,37.0,112
nh_black,Female,38.0,88
nh_black,Female,39.0,92
nh_black,Female,40.0,91
nh_black,Female,41.0,100
nh_black,Female,42.0,97
nh_black,Female,43.0,86
nh_black,Female,44.0,89
nh_black,Female,45.0,64
nh_black,Female,46.0,68
nh_black,Female,47.0,59
nh_black,Female,48.0,51
nh_black,Female,49.0,62
nh_black,Female,50.0,50
nh_black,Female,51.0,44
nh_black,Female,52.0,52
nh_black,Female,53.0,51
nh_black,Female,54.0,53
nh_black,Female,55.0,48
nh_black,Female,56.0,35
nh_black,Female,57.0,43
nh_black,Female,58.0,47
nh_black,Female,59.0,36
nh_black,Female,60.0,33
nh_black,Female,61.0,37
nh_black,Female,62.0,22
nh_black,Female,63.0,34
nh_black,Female,64.0,30
nh_black,Female,65.0,18
nh_black,Female,66.0,22
nh_black,Female,67.0,22
nh_black,Female,68.0,23
nh_black,Female,69.0,13
nh_black,Female,70.0,17
nh_black,Female,71.0,22
nh_black,Female,72.0,11
nh_black,Female,73.0,14
nh_black,Female,74.0,12
nh_black,Female,75.0,8
nh_black,Female,76.0,9
nh_black,Female,77.0,10
nh_black,Female,78.0,5
nh_black,Female,79.0,3
nh_black,Female,80.0,1
nh_black,Female,81.0,3
nh_black,Female,82.0,5
nh_black,Female,83.0,3
nh_black,Female,84.0,2
nh_black,Female,85.0,2
nh_black,Female,86.0,4
nh_black,Female,87.0,4
nh_black,Female,88.0,2
nh_black,Female,89.0,2
nh_black,Female,90.0,3
nh_black,Female,91.0,1
nh_black,Female,92.0,2
nh_black,Female,93.0,1
nh_black,Female,94.0,1
nh_black,Female,95.0,1
nh_black,Female,96.0,3
nh_black,Female,97.0,1
nh_black,Female,99.0,1
nh_black,Male,0.0,142
nh_black,Male,1.0,96
nh_black,Male,2.0,62
nh_black,Male,3.0,43
nh_black,Male,4.0,30
nh_black,Male,5.0,40
nh_black,Male,6.0,24
nh_black,Male,7.0,21
nh_black,Male,8.0,29
nh_black,Male,9.0,19
nh_black,Male,10.0,26
nh_black,Male,11.0,26
nh_black,Male,12.0,48
nh_black,Male,13.0,57
nh_black,Male,14.0,180
nh_black,Male,15.0,350
nh_black,Male,16.0,564
nh_black,Male,17.0,868
nh_black,Male,18.0,1166
nh_black,Male,19.0,1267
nh_black,Male,20.0,1246
nh_black,Male,21.0,1215
nh_black,Male,22.0,1169
nh_black,Male,23.0,1208
nh_black,Male,24.0,1148
nh_black,Male,25.0,1164
nh_black,Male,26.0,1133
nh_black,Male,27.0,1131
nh_black,Male,28.0,1138
nh_black,Male,29.0,1179
nh_black,Male,30.0,1095
nh_black,Male,31.0,1044
nh_black,Male,32.0,957
nh_black,Male,33.0,892
nh_black,Male,34.0,827
nh_black,Male,35.0,729
nh_black,Male,36.0,668
nh_black,Male,37.0,654
nh_black,Male,38.0,619
nh_black,Male,39.0,610
nh_black,Male,40.0,567
nh_black,Male,41.0,479
nh_black,Male,42.0,468
nh_black,Male,43.0,432
nh_black,Male,44.0,414
nh_black,Male,45.0,339
nh_black,Male,46.0,332
nh_black,Male,47.0,285
nh_black,Male,48.0,296
nh_black,Male,49.0,281
nh_black,Male,50.0,256
nh_black,Male,51.0,232
nh_black,Male,52.0,215
nh_black,Male,53.0,192
nh_black,Male,54.0,202
nh_black,Male,55.0,220
nh_black,Male,56.0,196
nh_black,Male,57.0,179
nh_black,Male,58.0,186
nh_black,Male,59.0,152
nh_black,Male,60.0,142
nh_black,Male,61.0,146
nh_black,Male,62.0,135
nh_black,Male,63.0,108
nh_black,Male,64.0,90
nh_black,Male,65.0,97
nh_black,Male,66.0,76
nh_black,Male,67.0,66
nh_black,Male,68.0,51
nh_black,Male,69.0,59
nh_black,Male,70.0,39
nh_black,Male,71.0,27
nh_black,Male,72.0,28
nh_black,Male,73.0,24
nh_black,Male,74.0,32
nh_black,Male,75.0,13
nh_black,Male,76.0,13
nh_black,Male,77.0,11
nh_black,Male,78.0,12
nh_black,Male,79.0,9
nh_black,Male,80.0,7
nh_black,Male,81.0,10
nh_black,Male,82.0,7
nh_black,Male,83.0,2
nh_black,Male,84.0,3
nh_black,Male,85.0,1
nh_black,Male,86.0,3
nh_black,Male,87.0,2
nh_black,Male,88.0,1
nh_black,Male,89.0,1
nh_black,Male,90.0,2
nh_black,Male,92.0,2
nh_black,Male,93.0,1
nh_black,Male,99.0,1
nh_black,Unknown,0.0,3
nh_black,Unknown,17.0,1
nh_black,Unknown,22.0,1
nh_black,Unknown,26.0,1
nh_black,Unknown,27.0,1
nh_black,Unknown,28.0,2
nh_black,Unknown,35.0,1
nh_black,Unknown,36.0,1
nh_black,Unknown,37.0,2
nh_black,Unknown,44.0,1
nh_black,Unknown,47.0,1
nh_black,Unknown,50.0,1
nh_other,Female,0.0,7
nh_other,Female,1.0,5
nh_other,Female,2.0,7
nh_other,Female,3.0,3
nh_other,Female,4.0,3
nh_other,Female,5.0,1
nh_other,Female,6.0,4
nh_other,Female,7.0,3
nh_other,Female,8.0,4
nh_other,Female,9.0,4
nh_other,Female,10.0,1
nh_other,Female,11.0,1
nh_other,Female,12.0,2
nh_other,Female,13.0,1
nh_other,Female,14.0,4
nh_other,Female,16.0,8
nh_other,Female,17.0,3
nh_other,Female,18.0,9
nh_other,Female,19.0,7
nh_other,Female,20.0,6
nh_other,Female,21.0,8
nh_other,Female,22.0,9
nh_other,Female,23.0,11
nh_other,Female,24.0,23
nh_other,Female,25.0,7
nh_other,Female,26.0,7
nh_other,Female,27.0,11
nh_other,Female,28.0,10
nh_other,Female,29.0,16
nh_other,Female,30.0,15
nh_other,Female,31.0,8
nh_other,Female,32.0,8
nh_other,Female,33.0,13
nh_other,Female,34.0,17
nh_other,Female,35.0,13
nh_other,Female,36.0,14
nh_other,Female,37.0,15
nh_other,Female,38.0,15
nh_other,Female,39.0,14
nh_other,Female,40.0,7
nh_other,Female,41.0,12
nh_other,Female,42.0,16
nh_other,Female,43.0,9
nh_other,Female,44.0,10
nh_other,Female,45.0,8
nh_other,Female,46.0,8
nh_other,Female,47.0,7
nh_other,Female,48.0,10
nh_other,Female,49.0,11
nh_other,Female,50.0,9
nh_other,Female,51.0,10
nh_other,Female,52.0,6
nh_other,Female,53.0,9
nh_other,Female,54.0,4
nh_other,Female,55.0,6
nh_other,Female,56.0,6
nh_other,Female,57.0,7
nh_other,Female,58.0,7
nh_other,Female,59.0,8
nh_other,Female,60.0,6
nh_other,Female,61.0,6
nh_other,Female,62.0,11
nh_other,Female,63.0,5
nh_other,Female,64.0,3
nh_other,Female,65.0,11
nh_other,Female,66.0,9
nh_other,Female,67.0,6
nh_other,Female,68.0,3
nh_other,Female,69.0,6
nh_other,Female,70.0,6
nh_other,Female,71.0,2
nh_other,Female,72.0,3
nh_other,Female,73.0,2
nh_other,Female,74.0,5
nh_other,Female,75.0,1
nh_other,Female,76.0,4
nh_other,Female,77.0,2
nh_other,Female,78.0,4
