group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
third_plus_nh_white,male,18+,27369,69363224.88,0.20229214853079652,0.3788130952022138,3.527276352321755,0.17323408334586649,0.1850863829098253,1.7497832014006556
third_plus_nh_white,female,18+,29429,72528317.06,0.2235535862025695,0.4168356168390046,3.85320262620747,0.5624519857017072,0.203531459551007,1.9092698211299155
third_plus_nh_white,all,18+,56798,141891541.94,0.21316000063477777,0.39824842916919534,3.6938746132706948,0.3721840633202157,0.1945146430339793,1.8313052989435998
mexico_born,male,18+,2729,6173353.369999999,0.307317977166112,0.5780155656309045,4.689727683610635,0.22409314307565717,0.2721000644743588,2.334568589583266
mexico_born,female,18+,2655,5501445.86,0.3896040685566247,0.7101264012075545,5.669629550803214,1.281800117542191,0.34668996088239246,2.9138900877959375
mexico_born,all,18+,5384,11674799.23,0.34609316018190744,0.6402693650432907,5.151480983540648,0.7225100786593998,0.3072486155292967,2.6075587965378655
mexican_second_gen,male,18+,1926,4409797.49,0.20050232510790422,0.3909168559121294,3.8029895858097555,0.3381293593144115,0.19264405041874155,1.9378506676051466
mexican_second_gen,female,18+,1993,4505085.95,0.31829093515962775,0.6162630704082348,5.936282381027603,1.8932084747461921,0.3031614457877324,2.966248257705272
mexican_second_gen,all,18+,3919,8914883.44,0.2600261333310265,0.5047942915112305,4.881037040233024,1.1239797993365577,0.2484933914065847,2.4575455761651552
mexican_third_plus_selfid,male,18+,1771,3934015.7,0.21794069606788807,0.41548262758585325,3.960330181193735,0.33446931592062534,0.19390093943956552,1.9457928319909858
mexican_third_plus_selfid,female,18+,1985,4249353.1,0.2840403613434713,0.5394858102048522,5.18165197427345,1.3535252554088764,0.25370590878879895,2.5866160286844604
mexican_third_plus_selfid,all,18+,3756,8183368.8,0.25226406880256946,0.47987338417400915,4.5945222449219205,0.863631403243124,0.22495568450978284,2.278551149986055
all_hispanic,male,18+,10701,24405191.549999997,0.24354733368196002,0.4491867473172937,4.1137141904546946,0.2536820703626069,0.22239977174036973,2.1134594946459253
all_hispanic,female,18+,11206,24274365.16,0.325552331766933,0.5990740097278819,5.423268301035972,1.4055012687301933,0.29718171875766575,2.777664294228653
all_hispanic,all,18+,21907,48679556.70999999,0.28443963843975606,0.5239289673884954,4.76673153131513,0.8280439115362686,0.25969025694523423,2.444669368682918
all_native,male,18+,41766,103942736.25999999,0.19429656113230362,0.36158710567314056,3.3888812515854014,0.21169112822814584,0.17784184932135247,1.6927197109752135
all_native,female,18+,45580,110320144.09,0.23453348165401222,0.43456648090387756,4.052252407369022,0.927686937360308,0.21483632019792076,2.033252367645634
all_native,all,18+,87346,214262880.35000002,0.2150138354564503,0.3991628872452987,3.730439254407232,0.5803446285557227,0.19688964402554757,1.8680539158074467
mexican_observed_total,male,18+,6426,14517166.56,0.25065078815214753,0.4771367512642219,4.222708404332036,0.2886441842959746,0.2267729330233709,2.1087052561860253
mexican_observed_total,female,18+,6633,14255884.91,0.33560186057927427,0.6296000428359239,5.608441128331191,1.496394487236359,0.3052178407352195,2.832883192096421
mexican_observed_total,all,18+,13059,28773051.47,0.29274061351408,0.5526761545114631,4.909283001744828,0.8870356804738305,0.26563921654153283,2.46750617514535
