band,hispanic,nh_white,nh_black
15-19,5945345.0,9753436.0,3039624.0
20-24,5555255.0,10173779.0,2841451.0
25-29,5289455.0,10278374.0,2884824.0
30-34,5209600.0,11192070.0,3365454.0
35-39,4930070.0,11198049.0,3059787.0
40-44,4772335.0,11043991.0,2779415.0
45-49,4364652.0,10045754.0,2534386.0
50-54,3919189.0,10426154.0,2424797.0
55-59,3312165.0,11339630.0,2259519.0
60-64,2959713.0,12628731.0,2542322.0
65+,6151010.0,40411360.0,5978754.0
