HISP,origin,gq1,gq2
12,Other Central American,21175,184
23,Spaniard,563794,5898
22,Other South American,21356,106
13,Argentinean,209190,310
04,Cuban,1621309,7791
14,Bolivian,95542,66
10,Panamanian,149757,1638
24,All Other Spanish/Hispanic/Latino,1666513,106788
16,Colombian,1076138,2710
06,Costa Rican,116130,234
07,Guatemalan,1287614,7101
09,Nicaraguan,389431,1115
21,Venezuelan,618535,484
02,Mexican,22910588,210956
05,Dominican,1448323,6620
17,Ecuadorian,606525,1517
18,Paraguayan,19522,0
08,Honduran,818441,7384
11,Salvadoran,1681247,7268
03,Puerto Rican,3422562,31254
15,Chilean,127088,64
19,Peruvian,516303,812
20,Uruguayan,46157,210
