vic_eth,victims,cleared,unsolved_share
hispanic,22596,14104,0.37581872897858026
nh_black,57119,32375,0.43320086135961766
nh_other,3022,2266,0.25016545334215756
nh_white,26506,22193,0.16271787519806835
unknown,49831,33858,0.3205434368164396
