ages,universe,hispanic_total,mexican,mexican_share,generic_other_hispanic,generic_share
18_34,housing_unit,16718080.0,10129387.0,0.6058941577023199,687484.0,0.04112218627976418
18_34,institutional_gq,180715.0,95744.0,0.5298066015549345,46363.0,0.256553136153612
18_64,housing_unit,39433240.0,22910588.0,0.5809968442866982,1666513.0,0.0422616300359798
18_64,institutional_gq,400510.0,210956.0,0.5267184339966543,106788.0,0.26663004669046964
all_ages,housing_unit,63962558.0,37399623.0,0.584711183689683,2995062.0,0.04682523797750553
all_ages,institutional_gq,504890.0,255936.0,0.5069143773891343,132725.0,0.26287904295985265
