vic_eth,band5,sex,shr_share,wonder_share,scale
hispanic,1-4 years,female,0.00241,0.00074,0.30574
hispanic,1-4 years,male,0.00321,0.00134,0.41717
hispanic,10-14 years,female,0.00059,0.00084,1.42889
hispanic,10-14 years,male,0.00111,0.00152,1.36897
hispanic,15-19 years,female,0.00271,0.00305,1.12734
hispanic,15-19 years,male,0.01653,0.02116,1.28056
hispanic,20-24 years,female,0.00424,0.00441,1.03967
hispanic,20-24 years,male,0.02211,0.02399,1.08536
hispanic,25-29 years,female,0.00404,0.00359,0.88883
hispanic,25-29 years,male,0.024,0.02247,0.93611
hispanic,30-34 years,female,0.00462,0.00376,0.8142
hispanic,30-34 years,male,0.0231,0.02061,0.89238
hispanic,35-39 years,female,0.0041,0.00327,0.79846
hispanic,35-39 years,male,0.01897,0.0167,0.87993
hispanic,40-44 years,female,0.0033,0.00252,0.76339
hispanic,40-44 years,male,0.01484,0.01241,0.83627
hispanic,45-49 years,female,0.00271,0.00206,0.75977
hispanic,45-49 years,male,0.01067,0.00849,0.79549
hispanic,5-9 years,female,0.00034,0.00038,1.10645
hispanic,5-9 years,male,0.00058,0.00065,1.10691
hispanic,50-54 years,female,0.00174,0.00136,0.78116
hispanic,50-54 years,male,0.00792,0.00616,0.77803
hispanic,55-59 years,female,0.00178,0.00114,0.64203
hispanic,55-59 years,male,0.0059,0.00401,0.67978
hispanic,65-69 years,female,0.00096,0.00059,0.60689
hispanic,65-69 years,male,0.00259,0.0015,0.57823
hispanic,70-74 years,female,0.00061,0.00038,0.62229
hispanic,70-74 years,male,0.00121,0.00082,0.67662
hispanic,75-79 years,female,0.00024,0.00023,0.94547
hispanic,75-79 years,male,0.00077,0.00054,0.7058
hispanic,80-84 years,female,0.00026,0.00014,0.55437
hispanic,80-84 years,male,0.00039,0.0003,0.77182
nh_black,1-4 years,female,0.00463,0.00272,0.58791
nh_black,1-4 years,male,0.00664,0.00327,0.4925
nh_black,10-14 years,female,0.00113,0.00153,1.35604
nh_black,10-14 years,male,0.0036,0.00528,1.46943
nh_black,15-19 years,female,0.00497,0.0078,1.57052
nh_black,15-19 years,male,0.03693,0.06262,1.69541
nh_black,20-24 years,female,0.00904,0.01162,1.28462
nh_black,20-24 years,male,0.06236,0.08789,1.40944
nh_black,25-29 years,female,0.0096,0.01115,1.16047
nh_black,25-29 years,male,0.06624,0.08479,1.28011
nh_black,30-34 years,female,0.00895,0.00971,1.08518
nh_black,30-34 years,male,0.06326,0.07167,1.13295
nh_black,35-39 years,female,0.00726,0.00735,1.01312
nh_black,35-39 years,male,0.04507,0.04938,1.09558
nh_black,40-44 years,female,0.00669,0.00608,0.90875
nh_black,40-44 years,male,0.03412,0.03654,1.07101
nh_black,45-49 years,female,0.00461,0.00422,0.91476
nh_black,45-49 years,male,0.02327,0.02395,1.02933
nh_black,5-9 years,female,0.00161,0.00176,1.08952
nh_black,5-9 years,male,0.00174,0.00195,1.11956
nh_black,50-54 years,female,0.00383,0.00362,0.94402
nh_black,50-54 years,male,0.01682,0.01677,0.99712
nh_black,55-59 years,female,0.00326,0.00289,0.88637
nh_black,55-59 years,male,0.01456,0.01428,0.98059
nh_black,65-69 years,female,0.00168,0.00152,0.90082
nh_black,65-69 years,male,0.00599,0.0054,0.90087
nh_black,70-74 years,female,0.00139,0.00098,0.71012
nh_black,70-74 years,male,0.00274,0.00256,0.93676
nh_black,75-79 years,female,0.00076,0.00054,0.71136
nh_black,75-79 years,male,0.00126,0.00108,0.85854
nh_black,80-84 years,female,0.00054,0.00032,0.59214
nh_black,80-84 years,male,0.00055,0.00042,0.75509
nh_other,1-4 years,female,0.0005,0.00045,0.91041
nh_other,1-4 years,male,0.00063,0.0006,0.94999
nh_other,10-14 years,female,0.0001,0.00013,1.32578
nh_other,10-14 years,male,0.00022,0.00032,1.43184
nh_other,15-19 years,female,0.00038,0.00082,2.16838
nh_other,15-19 years,male,0.00124,0.00322,2.59555
nh_other,20-24 years,female,0.00094,0.0012,1.27243
nh_other,20-24 years,male,0.00257,0.00418,1.62207
nh_other,25-29 years,female,0.00102,0.00119,1.17009
nh_other,25-29 years,male,0.00311,0.00395,1.27034
nh_other,30-34 years,female,0.00099,0.0014,1.41268
nh_other,30-34 years,male,0.00317,0.00434,1.3677
nh_other,35-39 years,female,0.00119,0.00111,0.93365
nh_other,35-39 years,male,0.00269,0.00359,1.33401
nh_other,40-44 years,female,0.00105,0.00097,0.92132
nh_other,40-44 years,male,0.00198,0.00282,1.423
nh_other,45-49 years,female,0.00081,0.0008,0.98239
nh_other,45-49 years,male,0.00133,0.00192,1.44085
nh_other,5-9 years,female,0.00013,0.0002,1.53779
nh_other,5-9 years,male,0.00019,0.00035,1.86046
nh_other,50-54 years,female,0.00074,0.00063,0.84734
nh_other,50-54 years,male,0.00168,0.00169,1.00721
nh_other,55-59 years,female,0.00068,0.00054,0.79635
nh_other,55-59 years,male,0.0011,0.00126,1.14598
nh_other,65-69 years,female,0.00071,0.00043,0.60189
nh_other,65-69 years,male,0.00079,0.00066,0.844
nh_other,70-74 years,female,0.00028,0.0002,0.69733
nh_other,70-74 years,male,0.00033,0.00021,0.65205
nh_other,75-79 years,female,0.0004,0.00017,0.4232
nh_other,75-79 years,male,0.00037,0.00021,0.57569
nh_other,80-84 years,female,0.00016,0.0,0.0
nh_other,80-84 years,male,8e-05,0.0,0.0
nh_white,1-4 years,female,0.00344,0.00166,0.48241
nh_white,1-4 years,male,0.00485,0.0025,0.51595
nh_white,10-14 years,female,0.00071,0.00094,1.31459
nh_white,10-14 years,male,0.00118,0.002,1.69226
nh_white,15-19 years,female,0.00304,0.00315,1.03595
nh_white,15-19 years,male,0.0088,0.0098,1.1133
nh_white,20-24 years,female,0.00673,0.00527,0.78309
nh_white,20-24 years,male,0.01509,0.01396,0.92464
nh_white,25-29 years,female,0.00828,0.00634,0.76565
nh_white,25-29 years,male,0.0177,0.01595,0.90114
nh_white,30-34 years,female,0.01046,0.00759,0.72581
nh_white,30-34 years,male,0.02118,0.0195,0.92054
nh_white,35-39 years,female,0.01104,0.00793,0.71796
nh_white,35-39 years,male,0.02193,0.01918,0.87451
nh_white,40-44 years,female,0.01,0.00716,0.71616
nh_white,40-44 years,male,0.02018,0.01759,0.87175
nh_white,45-49 years,female,0.00942,0.00597,0.63368
nh_white,45-49 years,male,0.01818,0.01436,0.78959
nh_white,5-9 years,female,0.00088,0.00091,1.03911
nh_white,5-9 years,male,0.00126,0.00136,1.07442
nh_white,50-54 years,female,0.00791,0.00563,0.71169
nh_white,50-54 years,male,0.01552,0.0139,0.89556
nh_white,55-59 years,female,0.00827,0.00584,0.70665
nh_white,55-59 years,male,0.01541,0.01305,0.84701
nh_white,65-69 years,female,0.00588,0.00397,0.67523
nh_white,65-69 years,male,0.00971,0.0076,0.78225
nh_white,70-74 years,female,0.00497,0.00387,0.77763
nh_white,70-74 years,male,0.00642,0.005,0.77856
nh_white,75-79 years,female,0.00457,0.00309,0.67638
nh_white,75-79 years,male,0.00431,0.00309,0.71726
nh_white,80-84 years,female,0.00295,0.00217,0.73663
nh_white,80-84 years,male,0.00222,0.00207,0.93336
