vic_eth,victims,cleared,unsolved_share
hispanic,14252,9069,0.3636682570867247
nh_black,37835,22154,0.41445751288489496
nh_other,1901,1430,0.24776433456075753
nh_white,16622,13977,0.15912645890987842
unknown,23319,15696,0.3269008104978772
