year,hispanic_origin,deaths
2018,Hispanic or Latino,3045.0
2018,Not Hispanic or Latino,15724.0
2018,Not Stated,61.0
2019,Hispanic or Latino,3122.0
2019,Not Hispanic or Latino,15979.0
2019,Not Stated,40.0
2020,Hispanic or Latino,3920.0
2020,Not Hispanic or Latino,20605.0
2020,Not Stated,51.0
2021,Hispanic or Latino,4453.0
2021,Not Hispanic or Latino,21521.0
2021,Not Stated,57.0
2022,Hispanic or Latino,4482.0
2022,Not Hispanic or Latino,20317.0
2022,Not Stated,50.0
2023,Hispanic or Latino,4288.0
2023,Not Hispanic or Latino,18481.0
2023,Not Stated,61.0
2024,Hispanic or Latino,3776.0
2024,Not Hispanic or Latino,16309.0
2024,Not Stated,77.0
