victim_eth,profile,band,age_mid,partial_r0,partial_r3,expanded_r0,expanded_r3
nh_white,third_plus_nh_white,0-17,8.0,399999.0,172596.0,-26448.0,24563.0
nh_white,third_plus_nh_white,18-24,21.0,492622.0,375425.0,130826.0,240196.0
nh_white,third_plus_nh_white,25-34,30.0,389373.0,373242.0,60390.0,237037.0
nh_white,third_plus_nh_white,35-44,40.0,193179.0,273024.0,-97656.0,138190.0
nh_white,third_plus_nh_white,45-54,50.0,-40138.0,95716.0,-295864.0,-39083.0
nh_white,third_plus_nh_white,55-64,60.0,-265913.0,-130316.0,-498595.0,-276930.0
nh_white,third_plus_nh_white,65-74,70.0,-330284.0,-248365.0,-530022.0,-398281.0
nh_white,third_plus_nh_white,75-100,88.0,-124495.0,-112598.0,-200333.0,-181189.0
hispanic,mexican_observed_total,0-17,8.0,-33924.0,16049.0,-538891.0,-177705.0
hispanic,mexican_observed_total,18-24,21.0,64128.0,152811.0,-351601.0,-18603.0
hispanic,mexican_observed_total,25-34,30.0,-948.0,127120.0,-371303.0,-41627.0
hispanic,mexican_observed_total,35-44,40.0,-106028.0,49708.0,-425068.0,-113081.0
hispanic,mexican_observed_total,45-54,50.0,-213730.0,-55233.0,-484061.0,-211835.0
hispanic,mexican_observed_total,55-64,60.0,-312768.0,-182424.0,-538175.0,-333697.0
hispanic,mexican_observed_total,65-74,70.0,-309625.0,-235074.0,-479046.0,-365251.0
hispanic,mexican_observed_total,75-100,88.0,-112317.0,-101584.0,-170745.0,-154429.0
hispanic_mexico_born,mexico_born,0-17,8.0,-105770.0,-20410.0,-591309.0,-206669.0
hispanic_mexico_born,mexico_born,18-24,21.0,232.0,110038.0,-399304.0,-54662.0
hispanic_mexico_born,mexico_born,25-34,30.0,-59842.0,76593.0,-415355.0,-84895.0
hispanic_mexico_born,mexico_born,35-44,40.0,-139435.0,10955.0,-446203.0,-145322.0
hispanic_mexico_born,mexico_born,45-54,50.0,-214383.0,-68590.0,-473621.0,-218033.0
hispanic_mexico_born,mexico_born,55-64,60.0,-286992.0,-169835.0,-503152.0,-313752.0
hispanic_mexico_born,mexico_born,65-74,70.0,-277334.0,-210393.0,-442693.0,-336757.0
hispanic_mexico_born,mexico_born,75-100,88.0,-100926.0,-91281.0,-159308.0,-144084.0
hispanic_second_gen,mexican_second_gen,0-17,8.0,9630.0,29306.0,-514476.0,-173379.0
hispanic_second_gen,mexican_second_gen,18-24,21.0,120365.0,188410.0,-310017.0,9628.0
hispanic_second_gen,mexican_second_gen,25-34,30.0,55626.0,173877.0,-327206.0,-1967.0
hispanic_second_gen,mexican_second_gen,35-44,40.0,-64871.0,95592.0,-392705.0,-72325.0
hispanic_second_gen,mexican_second_gen,45-54,50.0,-199492.0,-25332.0,-476633.0,-186206.0
hispanic_second_gen,mexican_second_gen,55-64,60.0,-341433.0,-189929.0,-571802.0,-344802.0
hispanic_second_gen,mexican_second_gen,65-74,70.0,-363171.0,-275431.0,-535530.0,-407748.0
hispanic_second_gen,mexican_second_gen,75-100,88.0,-132320.0,-119675.0,-191991.0,-173644.0
hispanic_third_plus,mexican_third_plus_selfid,0-17,8.0,65035.0,59795.0,-451638.0,-132517.0
hispanic_third_plus,mexican_third_plus_selfid,18-24,21.0,151902.0,202361.0,-279679.0,27956.0
hispanic_third_plus,mexican_third_plus_selfid,25-34,30.0,81719.0,185902.0,-306478.0,11040.0
hispanic_third_plus,mexican_third_plus_selfid,35-44,40.0,-43478.0,105493.0,-381964.0,-67235.0
hispanic_third_plus,mexican_third_plus_selfid,45-54,50.0,-191893.0,-27382.0,-481403.0,-196900.0
hispanic_third_plus,mexican_third_plus_selfid,55-64,60.0,-328557.0,-190180.0,-569081.0,-353926.0
hispanic_third_plus,mexican_third_plus_selfid,65-74,70.0,-329677.0,-251376.0,-504570.0,-387054.0
hispanic_third_plus,mexican_third_plus_selfid,75-100,88.0,-117481.0,-106254.0,-175259.0,-158511.0
all_native_reference,all_native,0-17,8.0,308750.0,138671.0,-161810.0,-30493.0
all_native_reference,all_native,18-24,21.0,405047.0,330134.0,9377.0,176721.0
all_native_reference,all_native,25-34,30.0,313329.0,327537.0,-43187.0,175089.0
all_native_reference,all_native,35-44,40.0,135555.0,233751.0,-176014.0,85342.0
all_native_reference,all_native,45-54,50.0,-78396.0,66228.0,-348934.0,-79617.0
all_native_reference,all_native,55-64,60.0,-283728.0,-145536.0,-525095.0,-299651.0
all_native_reference,all_native,65-74,70.0,-334827.0,-252207.0,-536746.0,-404449.0
all_native_reference,all_native,75-100,88.0,-125373.0,-113392.0,-200693.0,-181514.0
