off_eth,hispanic,nh_white,nh_black,nh_other
hispanic,0.667,0.1642,0.1479,0.0209
nh_white,0.0833,0.811,0.0869,0.0188
nh_black,0.0686,0.1166,0.8033,0.0115
nh_other,0.0951,0.1759,0.0983,0.6307
