off_eth,circ,n
hispanic,argument,2114
hispanic,felony,323
hispanic,gang,202
hispanic,other_known,1065
hispanic,undetermined,1636
nh_black,argument,5449
nh_black,felony,977
nh_black,gang,260
nh_black,other_known,2449
nh_black,undetermined,5277
nh_other,argument,317
nh_other,felony,49
nh_other,gang,8
nh_other,other_known,208
nh_other,undetermined,236
nh_white,argument,3253
nh_white,felony,534
nh_white,gang,11
nh_white,other_known,1799
nh_white,undetermined,1728
unknown,argument,4735
unknown,felony,824
unknown,gang,156
unknown,other_known,3723
unknown,undetermined,4880
