survey_year,function,level,items_present,california_bn,us_file_bn,us_sum_of_states_bn,california_share,california_rank_of_51,california_per_resident,us_per_resident
2022,hospitals,3,E36+F36,19.876,139.11,139.11,0.1429,1,,
2022,federal_ig_public_welfare,1,B79,96.721,664.682,664.682,0.1455,1,,
2022,federal_ig_public_welfare,2,B79,96.721,664.682,664.682,0.1455,1,,
2022,federal_ig_public_welfare,3,B79,0.0,,0.0,,1,,
2022,federal_ig_health_hospitals,1,B42,2.251,174.411,174.411,0.0129,24,,
2022,federal_ig_health_hospitals,2,B42,2.251,174.411,174.411,0.0129,24,,
2022,federal_ig_health_hospitals,3,B42,0.0,,0.0,,1,,
2023,public_welfare,1,E77+E79+F77+F79,169.228,1049.732,1049.732,0.1612,1,,
2023,public_welfare,2,E77+E79+F77+F79,144.062,977.84,977.84,0.1473,1,,
2023,public_welfare,3,E77+E79+F77+F79,25.166,71.892,71.892,0.3501,1,,
2023,vendor_payments_medical,1,none,0.0,,0.0,,1,,
2023,vendor_payments_medical,2,none,0.0,,0.0,,1,,
2023,vendor_payments_medical,3,none,0.0,,0.0,,1,,
2023,vendor_payments_other,1,none,0.0,,0.0,,1,,
2023,vendor_payments_other,2,none,0.0,,0.0,,1,,
2023,vendor_payments_other,3,none,0.0,,0.0,,1,,
2023,cash_assistance,1,none,0.0,,0.0,,1,,
2023,cash_assistance,2,none,0.0,,0.0,,1,,
2023,cash_assistance,3,none,0.0,,0.0,,1,,
2023,welfare_institutions,1,E77+F77,0.592,6.41,6.41,0.0924,3,,
2023,welfare_institutions,2,E77+F77,0.592,3.334,3.334,0.1776,1,,
2023,welfare_institutions,3,E77+F77,0.0,3.076,3.076,0.0,43,,
2023,welfare_nec,1,E79+F79,168.636,1043.323,1043.323,0.1616,1,,
2023,welfare_nec,2,E79+F79,143.47,974.507,974.507,0.1472,1,,
2023,welfare_nec,3,E79+F79,25.166,68.816,68.816,0.3657,1,,
2023,health,1,E32+F32,40.561,150.32,150.32,0.2698,1,,
2023,health,2,E32+F32,4.629,68.859,68.859,0.0672,2,,
2023,health,3,E32+F32,35.932,81.461,81.461,0.4411,1,,
2023,hospitals,1,E36+F36,43.782,282.879,282.879,0.1548,1,,
2023,hospitals,2,E36+F36,21.645,135.792,135.792,0.1594,1,,
2023,hospitals,3,E36+F36,22.137,147.087,147.087,0.1505,1,,
2023,federal_ig_public_welfare,1,B79,107.17,717.341,717.341,0.1494,1,,
2023,federal_ig_public_welfare,2,B79,107.17,717.341,717.341,0.1494,1,,
2023,federal_ig_public_welfare,3,B79,0.0,,0.0,,1,,
2023,federal_ig_health_hospitals,1,B42,2.182,106.713,106.713,0.0204,17,,
2023,federal_ig_health_hospitals,2,B42,2.182,106.713,106.713,0.0204,17,,
2023,federal_ig_health_hospitals,3,B42,0.0,,0.0,,1,,
2024,public_welfare,1,E77+E79+F77+F79,183.823,1094.22,1094.22,0.168,1,4662.0,3217.0
2024,public_welfare,2,E77+E79+F77+F79,156.706,1017.967,1017.967,0.1539,1,3974.0,2993.0
2024,public_welfare,3,E77+E79+F77+F79,27.116,76.252,76.252,0.3556,1,688.0,224.0
2024,vendor_payments_medical,1,none,0.0,,0.0,,1,0.0,0.0
2024,vendor_payments_medical,2,none,0.0,,0.0,,1,0.0,0.0
2024,vendor_payments_medical,3,none,0.0,,0.0,,1,0.0,0.0
2024,vendor_payments_other,1,none,0.0,,0.0,,1,0.0,0.0
2024,vendor_payments_other,2,none,0.0,,0.0,,1,0.0,0.0
2024,vendor_payments_other,3,none,0.0,,0.0,,1,0.0,0.0
2024,cash_assistance,1,none,0.0,,0.0,,1,0.0,0.0
2024,cash_assistance,2,none,0.0,,0.0,,1,0.0,0.0
2024,cash_assistance,3,none,0.0,,0.0,,1,0.0,0.0
2024,welfare_institutions,1,E77+F77,0.559,7.363,7.363,0.076,3,14.0,22.0
2024,welfare_institutions,2,E77+F77,0.559,3.557,3.557,0.1573,1,14.0,10.0
2024,welfare_institutions,3,E77+F77,0.0,3.806,3.806,0.0,47,0.0,11.0
2024,welfare_nec,1,E79+F79,183.263,1086.857,1086.857,0.1686,1,4648.0,3196.0
2024,welfare_nec,2,E79+F79,156.147,1014.411,1014.411,0.1539,1,3960.0,2983.0
2024,welfare_nec,3,E79+F79,27.116,72.446,72.446,0.3743,1,688.0,213.0
2024,health,1,E32+F32,44.682,159.127,159.127,0.2808,1,1133.0,468.0
2024,health,2,E32+F32,3.801,70.1,70.1,0.0542,6,96.0,206.0
2024,health,3,E32+F32,40.881,89.027,89.027,0.4592,1,1037.0,262.0
2024,hospitals,1,E36+F36,49.272,312.333,312.333,0.1578,1,1250.0,918.0
2024,hospitals,2,E36+F36,25.155,153.191,153.191,0.1642,1,638.0,450.0
2024,hospitals,3,E36+F36,24.117,159.142,159.142,0.1515,1,612.0,468.0
2024,federal_ig_public_welfare,1,B79,104.546,698.725,698.725,0.1496,1,2651.0,2054.0
2024,federal_ig_public_welfare,2,B79,104.546,698.725,698.725,0.1496,1,2651.0,2054.0
2024,federal_ig_public_welfare,3,B79,0.0,,0.0,,1,0.0,0.0
2024,federal_ig_health_hospitals,1,B42,2.375,86.365,86.365,0.0275,13,60.0,254.0
2024,federal_ig_health_hospitals,2,B42,2.375,86.365,86.365,0.0275,13,60.0,254.0
2024,federal_ig_health_hospitals,3,B42,0.0,,0.0,,1,0.0,0.0
