region,group,age,unauthorized_no_medicaid_rule_millions,se,n,MCAID_millions,MCAID_se,MCAID_n,MCAID_share,MCAID_share_se,CAID_millions,CAID_se,CAID_n,CAID_share,CAID_share_se,NOW_MCAID_millions,NOW_MCAID_se,NOW_MCAID_n,NOW_MCAID_share,NOW_MCAID_share_se,NOW_CAID_millions,NOW_CAID_se,NOW_CAID_n,NOW_CAID_share,NOW_CAID_share_se,MCAID_yes_donor_imputed_share,MCAID_yes_donor_imputed_share_se,MCAID_yes_logical_imputed_share
US,all_foreign_born,0-18,2.8486,0.1214,1199,1.0422,0.0739,451,0.3659,0.021,0.9499,0.0723,405,0.3335,0.0207,1.0476,0.073,449,0.3678,0.0206,0.9552,0.0718,403,0.3353,0.0205,0.3164,0.0331,0.0642
US,all_foreign_born,19-25,2.1142,0.0954,768,0.3774,0.0412,145,0.1785,0.0178,0.3691,0.0413,140,0.1746,0.0179,0.3589,0.0395,139,0.1698,0.0172,0.3507,0.0396,134,0.1659,0.0173,0.4367,0.0561,0.0035
US,all_foreign_born,26-49,10.0871,0.2261,4092,1.6271,0.089,681,0.1613,0.0082,1.5867,0.0876,656,0.1573,0.0082,1.5871,0.0893,659,0.1573,0.0081,1.5467,0.0874,634,0.1533,0.008,0.2399,0.0233,0.0864
US,all_foreign_born,50-64,3.1947,0.1099,1300,0.6271,0.0478,260,0.1963,0.014,0.601,0.0476,250,0.1881,0.0139,0.6382,0.0488,263,0.1998,0.0139,0.612,0.0482,253,0.1916,0.0138,0.1715,0.0319,0.0652
US,all_foreign_born,65+,0.3368,0.0366,157,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
US,all_foreign_born,50+,3.5314,0.1205,1457,0.6271,0.0478,260,0.1776,0.0132,0.601,0.0476,250,0.1702,0.0131,0.6382,0.0488,263,0.1807,0.0132,0.612,0.0482,253,0.1733,0.013,0.1715,0.0319,0.0652
US,all_foreign_born,all,18.5813,0.3648,7516,3.6738,0.1608,1537,0.1977,0.0075,3.5066,0.1586,1451,0.1887,0.0076,3.6318,0.1617,1510,0.1955,0.0076,3.4646,0.159,1424,0.1865,0.0076,0.2701,0.0194,0.068
US,mexico_born,0-18,0.4488,0.0471,203,0.2027,0.0292,91,0.4516,0.0495,0.1813,0.0295,82,0.404,0.0521,0.2036,0.0292,91,0.4536,0.0489,0.1822,0.0296,82,0.406,0.0519,0.3917,0.0753,0.0852
US,mexico_born,19-25,0.4742,0.04,194,0.0924,0.0171,33,0.1949,0.0341,0.0924,0.0171,33,0.1949,0.0341,0.0779,0.0142,29,0.1642,0.0286,0.0779,0.0142,29,0.1642,0.0286,0.3692,0.097,0.0
US,mexico_born,26-49,3.1815,0.1262,1420,0.5786,0.0455,270,0.1819,0.0134,0.5656,0.0454,264,0.1778,0.0135,0.5766,0.0459,267,0.1812,0.0131,0.5636,0.0455,261,0.1771,0.0132,0.2152,0.034,0.0902
US,mexico_born,50-64,1.5134,0.0742,647,0.2638,0.0324,124,0.1743,0.0208,0.2614,0.0322,123,0.1727,0.0206,0.2718,0.032,126,0.1796,0.0199,0.2694,0.0319,125,0.178,0.0197,0.137,0.0345,0.083
US,mexico_born,65+,0.0917,0.017,51,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
US,mexico_born,50+,1.605,0.0778,698,0.2638,0.0324,124,0.1644,0.02,0.2614,0.0322,123,0.1628,0.0199,0.2718,0.032,126,0.1693,0.0191,0.2694,0.0319,125,0.1678,0.019,0.137,0.0345,0.083
US,mexico_born,all,5.7096,0.1841,2515,1.1375,0.0671,518,0.1992,0.0106,1.1007,0.0677,502,0.1928,0.0109,1.1298,0.0682,513,0.1979,0.0105,1.093,0.0684,497,0.1914,0.0107,0.241,0.03,0.0803
California,all_foreign_born,0-18,0.3633,0.0406,143,0.2088,0.03,85,0.5747,0.0599,0.2051,0.03,83,0.5645,0.0601,0.2074,0.0301,84,0.5709,0.0589,0.2037,0.0301,82,0.5608,0.0592,0.2322,0.0752,0.0852
California,all_foreign_born,19-25,0.3518,0.0413,118,0.0915,0.0188,32,0.26,0.0454,0.0859,0.0185,30,0.2442,0.0446,0.0915,0.0188,32,0.26,0.0454,0.0859,0.0185,30,0.2442,0.0446,0.0892,0.0516,0.0
California,all_foreign_born,26-49,1.8462,0.0989,689,0.4976,0.0439,206,0.2695,0.0204,0.4976,0.0439,206,0.2695,0.0204,0.4943,0.0434,205,0.2677,0.0204,0.4943,0.0434,205,0.2677,0.0204,0.1908,0.0462,0.0499
California,all_foreign_born,50-64,0.7308,0.0569,282,0.3103,0.0347,122,0.4246,0.0382,0.3081,0.0347,121,0.4216,0.0381,0.3088,0.0344,121,0.4226,0.0383,0.3067,0.0343,120,0.4196,0.0381,0.127,0.0447,0.0636
California,all_foreign_born,65+,0.0362,0.0106,15,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
California,all_foreign_born,50+,0.767,0.0572,297,0.3103,0.0347,122,0.4045,0.0374,0.3081,0.0347,121,0.4017,0.0372,0.3088,0.0344,121,0.4026,0.0375,0.3067,0.0343,120,0.3998,0.0373,0.127,0.0447,0.0636
California,all_foreign_born,all,3.3284,0.1475,1247,1.1082,0.0781,445,0.3329,0.0186,1.0968,0.0779,440,0.3295,0.0183,1.102,0.0767,442,0.3311,0.0186,1.0906,0.0765,437,0.3277,0.0183,0.1724,0.0325,0.0563
