window,months,0-18,19-25,26-49,50+,all_ages
CY2024_average,12,197375,140187,802798,392522,1532882
Dec2024,1,215257,149894,832901,426244,1624296
Feb_Apr2025_average,3,218395,152280,845155,439283,1655112
FY2024_25_average,12,214133,149143,834071,425200,1622547
FY2025_26_average,12,191633,129896,761557,424932,1508018
Jun2026,1,163003,101010,635651,375392,1275056
