region,noncitizens_65plus_with_MCAID_millions,n,share_with_MCARE,share_MCARE_hotdeck,share_MCARE_logical
California,0.119,51,1.0,0.0609,0.7376
US,0.3817,169,1.0,0.0939,0.546
