month,0-18,19-25,26-49,50+,all_ages
2016-05,103629.0,0.0,0.0,0.0,103629.0
2016-06,110169.0,0.0,0.0,0.0,110169.0
2016-07,112409.0,0.0,0.0,0.0,112409.0
2016-08,114716.0,0.0,0.0,0.0,114716.0
2016-09,116782.0,0.0,0.0,0.0,116782.0
2016-10,118568.0,0.0,0.0,0.0,118568.0
2016-11,120033.0,0.0,0.0,0.0,120033.0
2016-12,121522.0,0.0,0.0,0.0,121522.0
2017-01,123936.0,0.0,0.0,0.0,123936.0
2017-02,125082.0,0.0,0.0,0.0,125082.0
2017-03,126030.0,0.0,0.0,0.0,126030.0
2017-04,126197.0,0.0,0.0,0.0,126197.0
2017-05,125804.0,0.0,0.0,0.0,125804.0
2017-06,125388.0,0.0,0.0,0.0,125388.0
2017-07,124846.0,0.0,0.0,0.0,124846.0
2017-08,124866.0,0.0,0.0,0.0,124866.0
2017-09,124016.0,0.0,0.0,0.0,124016.0
2017-10,123455.0,0.0,0.0,0.0,123455.0
2017-11,122382.0,0.0,0.0,0.0,122382.0
2017-12,121764.0,0.0,0.0,0.0,121764.0
2018-01,121607.0,0.0,0.0,0.0,121607.0
2018-02,120727.0,0.0,0.0,0.0,120727.0
2018-03,121470.0,0.0,0.0,0.0,121470.0
2018-04,121542.0,0.0,0.0,0.0,121542.0
2018-05,121423.0,0.0,0.0,0.0,121423.0
2018-06,119599.0,0.0,0.0,0.0,119599.0
2018-07,119589.0,0.0,0.0,0.0,119589.0
2018-08,91969.0,0.0,0.0,0.0,91969.0
2018-09,91498.0,0.0,0.0,0.0,91498.0
2018-10,91188.0,0.0,0.0,0.0,91188.0
2018-11,121115.0,0.0,0.0,0.0,121115.0
2018-12,120086.0,0.0,0.0,0.0,120086.0
2019-01,120373.0,0.0,0.0,0.0,120373.0
2019-02,121160.0,0.0,0.0,0.0,121160.0
2019-03,121728.0,0.0,0.0,0.0,121728.0
2019-04,122351.0,0.0,0.0,0.0,122351.0
2019-05,122077.0,0.0,0.0,0.0,122077.0
2019-06,122130.0,0.0,0.0,0.0,122130.0
2019-07,123387.0,0.0,0.0,0.0,123387.0
2019-08,124680.0,0.0,0.0,0.0,124680.0
2019-09,124384.0,0.0,0.0,0.0,124384.0
2019-10,124310.0,0.0,0.0,0.0,124310.0
2019-11,122891.0,0.0,0.0,0.0,122891.0
2019-12,121854.0,0.0,0.0,0.0,121854.0
2020-01,121727.0,68742.0,0.0,0.0,190469.0
2020-02,121409.0,70669.0,0.0,0.0,192078.0
2020-03,120153.0,71088.0,0.0,0.0,191241.0
2020-04,119821.0,72324.0,0.0,0.0,192145.0
2020-05,119810.0,73792.0,0.0,0.0,193602.0
2020-06,119841.0,75274.0,0.0,0.0,195115.0
2020-07,119494.0,76747.0,0.0,0.0,196241.0
2020-08,119425.0,78175.0,0.0,0.0,197600.0
2020-09,119259.0,79355.0,0.0,0.0,198614.0
2020-10,118605.0,80543.0,0.0,0.0,199148.0
2020-11,118134.0,81769.0,0.0,0.0,199903.0
2020-12,117816.0,83031.0,0.0,0.0,200847.0
2021-01,117202.0,84321.0,0.0,0.0,201523.0
2021-02,117038.0,85467.0,0.0,0.0,202505.0
2021-03,117425.0,87003.0,0.0,0.0,204428.0
2021-04,117332.0,88116.0,0.0,0.0,205448.0
