rules,region,group,unauthorized_millions,se,n,added_vs_paper_millions,added_se,added_n
borjas_paper_rules,US,all_foreign_born,14.8964,0.3164,5973,0.0,0.0,0
borjas_paper_rules,US,mexico_born,4.5671,0.165,1995,0.0,0.0,0
borjas_paper_rules,US,union,4.5671,0.165,1995,0.0,0.0,0
borjas_paper_rules,California,all_foreign_born,2.2202,0.1173,802,0.0,0.0,0
borjas_paper_rules,California,mexico_born,0.8094,0.0703,317,0.0,0.0,0
borjas_paper_rules,California,union,0.8094,0.0703,317,0.0,0.0,0
borjas_paper_rules,rest_of_US,all_foreign_born,12.6762,0.2915,5171,0.0,0.0,0
borjas_paper_rules,rest_of_US,mexico_born,3.7577,0.1504,1678,0.0,0.0,0
borjas_paper_rules,rest_of_US,union,3.7577,0.1504,1678,0.0,0.0,0
borjas_paper_rules,other_listed_states,all_foreign_born,3.2235,0.1654,1309,0.0,0.0,0
borjas_paper_rules,other_listed_states,mexico_born,0.6995,0.0675,292,0.0,0.0,0
borjas_paper_rules,other_listed_states,union,0.6995,0.0675,292,0.0,0.0,0
borjas_paper_rules,unlisted_states,all_foreign_born,9.4527,0.2586,3862,0.0,0.0,0
borjas_paper_rules,unlisted_states,mexico_born,3.0582,0.1388,1386,0.0,0.0,0
borjas_paper_rules,unlisted_states,union,3.0582,0.1388,1386,0.0,0.0,0
no_medicaid_rule,US,all_foreign_born,18.5813,0.3648,7516,3.6849,0.1608,1543
no_medicaid_rule,US,mexico_born,5.7096,0.1841,2515,1.1424,0.0668,520
no_medicaid_rule,US,union,5.7096,0.1841,2515,1.1424,0.0668,520
no_medicaid_rule,California,all_foreign_born,3.3284,0.1475,1247,1.1082,0.0781,445
no_medicaid_rule,California,mexico_born,1.4012,0.0846,566,0.5918,0.0487,249
no_medicaid_rule,California,union,1.4012,0.0846,566,0.5918,0.0487,249
no_medicaid_rule,rest_of_US,all_foreign_born,15.2529,0.3301,6269,2.5767,0.1376,1098
no_medicaid_rule,rest_of_US,mexico_born,4.3084,0.1656,1949,0.5507,0.0449,271
no_medicaid_rule,rest_of_US,union,4.3084,0.1656,1949,0.5507,0.0449,271
no_medicaid_rule,other_listed_states,all_foreign_born,4.5135,0.2104,1833,1.29,0.0984,524
no_medicaid_rule,other_listed_states,mexico_born,0.9361,0.0825,392,0.2366,0.032,100
no_medicaid_rule,other_listed_states,union,0.9361,0.0825,392,0.2366,0.032,100
no_medicaid_rule,unlisted_states,all_foreign_born,10.7394,0.2788,4436,1.2867,0.092,574
no_medicaid_rule,unlisted_states,mexico_born,3.3723,0.1494,1557,0.314,0.0363,171
no_medicaid_rule,unlisted_states,union,3.3723,0.1494,1557,0.314,0.0363,171
state_aware_california,US,all_foreign_born,16.0046,0.3309,6418,1.1082,0.0781,445
state_aware_california,US,mexico_born,5.1589,0.1713,2244,0.5918,0.0487,249
state_aware_california,US,union,5.1589,0.1713,2244,0.5918,0.0487,249
state_aware_california,California,all_foreign_born,3.3284,0.1475,1247,1.1082,0.0781,445
state_aware_california,California,mexico_born,1.4012,0.0846,566,0.5918,0.0487,249
state_aware_california,California,union,1.4012,0.0846,566,0.5918,0.0487,249
state_aware_california,rest_of_US,all_foreign_born,12.6762,0.2915,5171,0.0,0.0,0
state_aware_california,rest_of_US,mexico_born,3.7577,0.1504,1678,0.0,0.0,0
state_aware_california,rest_of_US,union,3.7577,0.1504,1678,0.0,0.0,0
state_aware_california,other_listed_states,all_foreign_born,3.2235,0.1654,1309,0.0,0.0,0
state_aware_california,other_listed_states,mexico_born,0.6995,0.0675,292,0.0,0.0,0
state_aware_california,other_listed_states,union,0.6995,0.0675,292,0.0,0.0,0
state_aware_california,unlisted_states,all_foreign_born,9.4527,0.2586,3862,0.0,0.0,0
state_aware_california,unlisted_states,mexico_born,3.0582,0.1388,1386,0.0,0.0,0
state_aware_california,unlisted_states,union,3.0582,0.1388,1386,0.0,0.0,0
state_aware_verified_states,US,all_foreign_born,16.3779,0.3347,6607,1.4815,0.0892,634
state_aware_verified_states,US,mexico_born,5.2265,0.174,2279,0.6594,0.049,284
state_aware_verified_states,US,union,5.2265,0.174,2279,0.6594,0.049,284
state_aware_verified_states,California,all_foreign_born,3.3284,0.1475,1247,1.1082,0.0781,445
state_aware_verified_states,California,mexico_born,1.4012,0.0846,566,0.5918,0.0487,249
state_aware_verified_states,California,union,1.4012,0.0846,566,0.5918,0.0487,249
state_aware_verified_states,rest_of_US,all_foreign_born,13.0495,0.2964,5360,0.3733,0.0443,189
state_aware_verified_states,rest_of_US,mexico_born,3.8253,0.1548,1713,0.0676,0.0159,35
state_aware_verified_states,rest_of_US,union,3.8253,0.1548,1713,0.0676,0.0159,35
state_aware_verified_states,other_listed_states,all_foreign_born,3.5968,0.175,1498,0.3733,0.0443,189
state_aware_verified_states,other_listed_states,mexico_born,0.7671,0.074,327,0.0676,0.0159,35
state_aware_verified_states,other_listed_states,union,0.7671,0.074,327,0.0676,0.0159,35
state_aware_verified_states,unlisted_states,all_foreign_born,9.4527,0.2586,3862,0.0,0.0,0
state_aware_verified_states,unlisted_states,mexico_born,3.0582,0.1388,1386,0.0,0.0,0
state_aware_verified_states,unlisted_states,union,3.0582,0.1388,1386,0.0,0.0,0
