component,national_bn,per_head_bn,use_bn,mexico_born_bn,us_born_bn,unsplit_bn,proxy_mexico_born_bn,proxy_us_born_bn
fire,80.172512,9.640327,9.640327,2.880738,6.759588,0.000000,2.880738,6.759588
prisons,121.315102,14.587509,17.216835,4.512351,12.704484,0.000000,4.512351,12.704484
law_courts,80.185498,9.641888,10.649463,1.152482,2.704273,6.792708,2.932779,7.716684
police_cbp,23.871928,2.870475,2.870475,0.857760,2.012715,0.000000,0.857760,2.012715
police_ice_border,1.971105,0.237015,0.237015,0.070825,0.166190,0.000000,0.070825,0.166190
police_ice_interior,0.945936,0.113744,0.214229,0.214229,0.000000,0.000000,0.214229,0.000000
police_non_border,210.690920,25.334485,27.540691,3.785246,8.881996,14.873448,7.683420,19.857270
