product,ages,nativity,hisp,hh,inst,noninst,total
acs1_2024,1864,native,01,138435031,1645483,3331544,143412058
acs1_2024,1864,native,02,14662931,182328,269769,15115028
acs1_2024,1864,native,03,3504940,44076,66741,3615757
acs1_2024,1864,native,04,712241,5457,17851,735549
acs1_2024,1864,native,05,596257,5105,16420,617782
acs1_2024,1864,native,06,57832,486,2496,60814
acs1_2024,1864,native,07,341222,1788,9544,352554
acs1_2024,1864,native,08,188462,1875,3853,194190
acs1_2024,1864,native,09,119079,267,2746,122092
acs1_2024,1864,native,10,97640,559,3500,101699
acs1_2024,1864,native,11,587808,3893,12440,604141
acs1_2024,1864,native,12,7968,0,27,7995
acs1_2024,1864,native,13,78861,151,3570,82582
acs1_2024,1864,native,14,36926,0,800,37726
acs1_2024,1864,native,15,52951,0,1985,54936
acs1_2024,1864,native,16,353338,765,11088,365191
acs1_2024,1864,native,17,208514,406,8056,216976
acs1_2024,1864,native,18,6815,0,171,6986
acs1_2024,1864,native,19,162132,230,5915,168277
acs1_2024,1864,native,20,18538,0,433,18971
acs1_2024,1864,native,21,100398,121,4785,105304
acs1_2024,1864,native,22,10824,54,360,11238
acs1_2024,1864,native,23,489772,6693,11654,508119
acs1_2024,1864,native,24,1336389,58049,83739,1478177
acs1_2024,1864,foreign_born,01,19780261,47761,310008,20138030
acs1_2024,1864,foreign_born,02,8998089,66688,57752,9122529
acs1_2024,1864,foreign_born,03,100945,158,989,102092
acs1_2024,1864,foreign_born,04,1153583,5487,3382,1162452
acs1_2024,1864,foreign_born,05,924408,5415,7162,936985
acs1_2024,1864,foreign_born,06,67982,413,666,69061
acs1_2024,1864,foreign_born,07,1043675,5968,3281,1052924
acs1_2024,1864,foreign_born,08,705328,6729,5791,717848
acs1_2024,1864,foreign_born,09,297678,983,373,299034
acs1_2024,1864,foreign_born,10,54338,126,775,55239
acs1_2024,1864,foreign_born,11,1176935,6197,3212,1186344
acs1_2024,1864,foreign_born,12,10402,0,394,10796
acs1_2024,1864,foreign_born,13,139183,0,2074,141257
acs1_2024,1864,foreign_born,14,60170,7,0,60177
acs1_2024,1864,foreign_born,15,76685,145,1115,77945
acs1_2024,1864,foreign_born,16,812049,3842,5762,821653
acs1_2024,1864,foreign_born,17,443430,1097,2259,446786
acs1_2024,1864,foreign_born,18,17752,0,272,18024
acs1_2024,1864,foreign_born,19,352227,1032,2159,355418
acs1_2024,1864,foreign_born,20,36076,0,133,36209
acs1_2024,1864,foreign_born,21,714052,1861,5621,721534
acs1_2024,1864,foreign_born,22,12069,0,0,12069
acs1_2024,1864,foreign_born,23,96717,327,3069,100113
acs1_2024,1864,foreign_born,24,338657,9460,9093,357210
acs1_2024,12up,native,01,204625601,2987000,3694534,211307135
acs1_2024,12up,native,02,20170629,213294,280752,20664675
acs1_2024,12up,native,03,4752887,57481,72049,4882417
acs1_2024,12up,native,04,910651,6212,18711,935574
acs1_2024,12up,native,05,805876,5691,17025,828592
acs1_2024,12up,native,06,79375,486,2496,82357
acs1_2024,12up,native,07,512602,1865,9544,524011
acs1_2024,12up,native,08,288800,1904,3853,294557
acs1_2024,12up,native,09,158433,267,2772,161472
acs1_2024,12up,native,10,124401,559,3612,128572
acs1_2024,12up,native,11,834212,4233,12440,850885
acs1_2024,12up,native,12,9588,0,68,9656
acs1_2024,12up,native,13,107130,151,3629,110910
acs1_2024,12up,native,14,46895,0,800,47695
acs1_2024,12up,native,15,72246,16,1985,74247
acs1_2024,12up,native,16,454693,972,11171,466836
acs1_2024,12up,native,17,289908,406,8113,298427
acs1_2024,12up,native,18,9275,0,171,9446
acs1_2024,12up,native,19,222605,243,6307,229155
acs1_2024,12up,native,20,25148,0,433,25581
acs1_2024,12up,native,21,145553,121,4785,150459
acs1_2024,12up,native,22,14588,54,360,15002
acs1_2024,12up,native,23,680875,7726,11818,700419
acs1_2024,12up,native,24,1952112,77513,90224,2119849
acs1_2024,12up,foreign_born,01,26330109,106803,348047,26784959
acs1_2024,12up,foreign_born,02,10747185,81506,62107,10890798
acs1_2024,12up,foreign_born,03,132401,834,989,134224
acs1_2024,12up,foreign_born,04,1592717,12767,6404,1611888
acs1_2024,12up,foreign_born,05,1198232,6817,7859,1212908
acs1_2024,12up,foreign_born,06,86264,433,728,87425
acs1_2024,12up,foreign_born,07,1202009,6870,3754,1212633
acs1_2024,12up,foreign_born,08,825571,7995,6217,839783
acs1_2024,12up,foreign_born,09,352929,1524,499,354952
acs1_2024,12up,foreign_born,10,82985,901,775,84661
acs1_2024,12up,foreign_born,11,1397607,7638,3401,1408646
acs1_2024,12up,foreign_born,12,13460,0,484,13944
acs1_2024,12up,foreign_born,13,180465,89,2074,182628
acs1_2024,12up,foreign_born,14,79576,7,0,79583
acs1_2024,12up,foreign_born,15,106155,230,1255,107640
acs1_2024,12up,foreign_born,16,1030278,4566,6437,1041281
acs1_2024,12up,foreign_born,17,547543,2077,2839,552459
acs1_2024,12up,foreign_born,18,20630,0,374,21004
acs1_2024,12up,foreign_born,19,466213,1722,2259,470194
acs1_2024,12up,foreign_born,20,46437,0,133,46570
acs1_2024,12up,foreign_born,21,851288,1971,5665,858924
