product,ages,fhisp,hisp,hh,inst,noninst,total
acs1_2024,1864,0,01,157269169,1685063,3390340,162344572
acs1_2024,1864,0,02,23533903,248453,312465,24094821
acs1_2024,1864,0,03,3587157,43956,62109,3693222
acs1_2024,1864,0,04,1852389,10944,17906,1881239
acs1_2024,1864,0,05,1512635,10520,21907,1545062
acs1_2024,1864,0,06,124452,899,2577,127928
acs1_2024,1864,0,07,1378027,7613,11993,1397633
acs1_2024,1864,0,08,890081,8604,9506,908191
acs1_2024,1864,0,09,414794,1250,3119,419163
acs1_2024,1864,0,10,151289,685,4079,156053
acs1_2024,1864,0,11,1755035,10042,14469,1779546
acs1_2024,1864,0,12,18232,0,421,18653
acs1_2024,1864,0,13,217319,151,5131,222601
acs1_2024,1864,0,14,95233,7,800,96040
acs1_2024,1864,0,15,128962,145,2951,132058
acs1_2024,1864,0,16,1157607,4607,15682,1177896
acs1_2024,1864,0,17,642358,1503,9659,653520
acs1_2024,1864,0,18,24567,0,437,25004
acs1_2024,1864,0,19,512472,1262,7436,521170
acs1_2024,1864,0,20,54614,0,566,55180
acs1_2024,1864,0,21,810696,1982,9063,821741
acs1_2024,1864,0,22,22893,54,360,23307
acs1_2024,1864,0,23,583573,6925,14143,604641
acs1_2024,1864,0,24,1656019,67208,85331,1808558
acs1_2024,1864,1,01,946123,8181,251212,1205516
acs1_2024,1864,1,02,127117,563,15056,142736
acs1_2024,1864,1,03,18728,278,5621,24627
acs1_2024,1864,1,04,13435,0,3327,16762
acs1_2024,1864,1,05,8030,0,1675,9705
acs1_2024,1864,1,06,1362,0,585,1947
acs1_2024,1864,1,07,6870,143,832,7845
acs1_2024,1864,1,08,3709,0,138,3847
acs1_2024,1864,1,09,1963,0,0,1963
acs1_2024,1864,1,10,689,0,196,885
acs1_2024,1864,1,11,9708,48,1183,10939
acs1_2024,1864,1,12,138,0,0,138
acs1_2024,1864,1,13,725,0,513,1238
acs1_2024,1864,1,14,1863,0,0,1863
acs1_2024,1864,1,15,674,0,149,823
acs1_2024,1864,1,16,7780,0,1168,8948
acs1_2024,1864,1,17,9586,0,656,10242
acs1_2024,1864,1,18,0,0,6,6
acs1_2024,1864,1,19,1887,0,638,2525
acs1_2024,1864,1,20,0,0,0,0
acs1_2024,1864,1,21,3754,0,1343,5097
acs1_2024,1864,1,22,0,0,0,0
acs1_2024,1864,1,23,2916,95,580,3591
acs1_2024,1864,1,24,19027,301,7501,26829
