generation,restriction,not_mexican_pct,not_hispanic_pct,weighted_base,unweighted_n
2nd generation,all records,6.32,2.9,881793280.0,3868
2nd generation,child ethnicity not allocated,6.14,2.77,878713867.0,3853
2nd generation,parent birthplace not allocated,5.56,2.99,855514663.0,3769
2nd generation,neither allocated,5.42,2.85,853642121.0,3760
3rd generation,all records,9.19,5.05,390523294.0,1615
3rd generation,child ethnicity not allocated,8.55,4.47,387773983.0,1603
3rd generation,parent birthplace not allocated,8.85,5.18,374791199.0,1546
3rd generation,neither allocated,8.17,4.57,372041888.0,1534
