mexican_grandparents_of_4,children,se,self_id_mexican,fractional_weight,fractional_children
1,655263.0,72475.5,511157.1,0.25,163815.8
2,796733.7,76417.2,702897.2,0.5,398366.8
3,254588.1,42329.7,236444.1,0.75,190941.1
4,627976.6,73674.4,614788.6,1.0,627976.6
