denominator,with_ancestry,answered_not_hispanic,pct_not_hispanic_2024,pct_not_hispanic_2006_emeka_vallejo,unweighted_n_denominator
all Latin American / Hispanic ancestry (Emeka-Vallejo analogue),51279909.0,1070495.0,2.09,6.0,396862
Mexican ancestry only,27685749.0,331451.0,1.2,,216295
